observation_date,WSHPOP
4/1/1990,4105.955
7/1/2000,4821.031
7/1/2001,4927.274
7/1/2002,5014.571
7/1/2003,5086.376
7/1/2004,5158.524
7/1/2005,5229.267
7/1/2006,5265.012
7/1/2007,5313.033
7/1/2008,5377.936
7/1/2009,5476.241
7/1/2010,5678.733
7/1/2011,5783.752
7/1/2012,5881.329
7/1/2013,5966.559
7/1/2014,6036.388
7/1/2015,6099.163
7/1/2016,6155.359
7/1/2017,6217.791
7/1/2018,6256.312
7/1/2019,6297.454
7/1/2020,6260.475
7/1/2021,6259.238
7/1/2022,6289.81
7/1/2023,6345.881
7/1/2024,6436.489
