Label,Value
9/1/2014,4.9
10/1/2014,4.7
11/1/2014,4.6
12/1/2014,4.4
1/1/2015,4.9
2/1/2015,4.7
3/1/2015,4.5
4/1/2015,4.1
5/1/2015,4.5
6/1/2015,4.6
7/1/2015,4.5
8/1/2015,4.3
9/1/2015,4.2
10/1/2015,4.2
11/1/2015,4
12/1/2015,3.7
1/1/2016,4.1
2/1/2016,4
3/1/2016,3.9
4/1/2016,3.5
5/1/2016,3.6
6/1/2016,4
7/1/2016,4
8/1/2016,4
9/1/2016,3.9
10/1/2016,3.9
11/1/2016,3.6
12/1/2016,3.5
1/1/2017,4
2/1/2017,4
3/1/2017,3.7
4/1/2017,3.3
5/1/2017,3.6
6/1/2017,3.8
7/1/2017,3.8
8/1/2017,3.8
9/1/2017,3.6
10/1/2017,3.5
11/1/2017,3.5
12/1/2017,3.2
1/1/2018,3.7
2/1/2018,3.6
3/1/2018,3.5
4/1/2018,3
5/1/2018,3.1
6/1/2018,3.6
7/1/2018,3.4
8/1/2018,3.3
9/1/2018,3.1
10/1/2018,3.1
11/1/2018,2.9
12/1/2018,2.9
1/1/2019,3.7
2/1/2019,3.3
3/1/2019,3.2
4/1/2019,2.7
5/1/2019,2.9
6/1/2019,3.2
7/1/2019,3.3
8/1/2019,3.1
9/1/2019,2.8
10/1/2019,2.8
11/1/2019,2.7
12/1/2019,2.6
1/1/2020,3.1
2/1/2020,2.9
3/1/2020,3.5
4/1/2020,9.4
5/1/2020,9.1
6/1/2020,9.2
7/1/2020,8.6
8/1/2020,7.4
9/1/2020,6.9
10/1/2020,6.3
11/1/2020,6.1
12/1/2020,5.6
1/1/2021,5.6
2/1/2021,5.5
3/1/2021,5.3
4/1/2021,5
5/1/2021,4.9
6/1/2021,5.5
7/1/2021,5.1
8/1/2021,4.9
9/1/2021,4
10/1/2021,3.6
11/1/2021,3.1
12/1/2021,2.9
1/1/2022,3.3
2/1/2022,3.1
3/1/2022,2.9
4/1/2022,2.5
5/1/2022,2.8
6/1/2022,3.1
7/1/2022,3
8/1/2022,3.1
9/1/2022,2.7
10/1/2022,2.7
11/1/2022,2.6
12/1/2022,2.3
1/1/2023,2.7
2/1/2023,2.7
3/1/2023,2.5
4/1/2023,2.1
5/1/2023,2.4
6/1/2023,2.6
7/1/2023,2.6
8/1/2023,2.8
9/1/2023,2.7
10/1/2023,2.8
11/1/2023,2.6
12/1/2023,2.5
1/1/2024,2.9
2/1/2024,3
3/1/2024,2.9
4/1/2024,2.6
5/1/2024,2.8
6/1/2024,3.3
7/1/2024,3.5
8/1/2024,3.5
9/1/2024,3.1
10/1/2024,3.1
11/1/2024,3.1
12/1/2024,2.8
1/1/2025,3.1
2/1/2025,3.4
