Date,House_Index,House_Index_pct_change,CPI_pct_change,Poverty_Rate_pct_change,Median_Household_Income_pct_change,Population_pct_change,Interest_Rate_pct_change,Mortgage_Rate_pct_change,GDP_pct_change,Unemployment_Rate,House_Index_pct_change_lag1,House_Index_pct_change_lag2,House_Index_pct_change_lag3,House_Index_pct_change_lag4,House_Index_pct_change_lag5,House_Index_pct_change_lag6,House_Index_pct_change_lag7,House_Index_pct_change_lag8,CPI_pct_change_lag1,CPI_pct_change_lag2,CPI_pct_change_lag3,CPI_pct_change_lag4,CPI_pct_change_lag5,CPI_pct_change_lag6,CPI_pct_change_lag7,CPI_pct_change_lag8,Poverty_Rate_pct_change_lag1,Poverty_Rate_pct_change_lag2,Poverty_Rate_pct_change_lag3,Poverty_Rate_pct_change_lag4,Poverty_Rate_pct_change_lag5,Poverty_Rate_pct_change_lag6,Poverty_Rate_pct_change_lag7,Poverty_Rate_pct_change_lag8,Median_Household_Income_pct_change_lag1,Median_Household_Income_pct_change_lag2,Median_Household_Income_pct_change_lag3,Median_Household_Income_pct_change_lag4,Median_Household_Income_pct_change_lag5,Median_Household_Income_pct_change_lag6,Median_Household_Income_pct_change_lag7,Median_Household_Income_pct_change_lag8,Population_pct_change_lag1,Population_pct_change_lag2,Population_pct_change_lag3,Population_pct_change_lag4,Population_pct_change_lag5,Population_pct_change_lag6,Population_pct_change_lag7,Population_pct_change_lag8,Interest_Rate_pct_change_lag1,Interest_Rate_pct_change_lag2,Interest_Rate_pct_change_lag3,Interest_Rate_pct_change_lag4,Interest_Rate_pct_change_lag5,Interest_Rate_pct_change_lag6,Interest_Rate_pct_change_lag7,Interest_Rate_pct_change_lag8,Mortgage_Rate_pct_change_lag1,Mortgage_Rate_pct_change_lag2,Mortgage_Rate_pct_change_lag3,Mortgage_Rate_pct_change_lag4,Mortgage_Rate_pct_change_lag5,Mortgage_Rate_pct_change_lag6,Mortgage_Rate_pct_change_lag7,Mortgage_Rate_pct_change_lag8,GDP_pct_change_lag1,GDP_pct_change_lag2,GDP_pct_change_lag3,GDP_pct_change_lag4,GDP_pct_change_lag5,GDP_pct_change_lag6,GDP_pct_change_lag7,GDP_pct_change_lag8,Unemployment_Rate_lag1,Unemployment_Rate_lag2,Unemployment_Rate_lag3,Unemployment_Rate_lag4,Unemployment_Rate_lag5,Unemployment_Rate_lag6,Unemployment_Rate_lag7,Unemployment_Rate_lag8,time_trend,dummy_crisis_2008_period,dummy_covid_2020_period
1990-04-01,102.41,0.0029380080305552,0.0143939393939394,0.012962962962963,0.0131871895872581,0.0042658231153316,0.0036452004860265,0.0480040424456795,0.0148699891242547,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1990-07-01,101.87,-0.0052729225661555,0.0134428678117997,0.012797074954296,0.0130155510480054,0.0042477031649836,-0.0133171912832928,-0.0323047251687559,0.0092429095970689,4.7,0.0029380080305552,,,,,,,,0.0143939393939394,,,,,,,,0.012962962962963,,,,,,,,0.0131871895872581,,,,,,,,0.0042658231153316,,,,,,,,0.0036452004860265,,,,,,,,0.0480040424456795,,,,,,,,0.0148699891242547,,,,,,,,3.8,,,,,,,,1,0,0
1990-10-01,100.53,-0.013154019829194,0.0184229918938836,0.0126353790613717,0.0128483230435507,0.0042297364998662,-0.0049079754601227,0.0142002989536622,-0.0017261512496183,4.9,-0.0052729225661555,0.0029380080305552,,,,,,,0.0134428678117997,0.0143939393939394,,,,,,,0.012797074954296,0.012962962962963,,,,,,,0.0130155510480054,0.0131871895872581,,,,,,,0.0042477031649836,0.0042658231153316,,,,,,,-0.0133171912832928,0.0036452004860265,,,,,,,-0.0323047251687559,0.0480040424456795,,,,,,,0.0092429095970689,0.0148699891242547,,,,,,,4.7,3.8,,,,,,,2,0,0
1991-01-01,101.07,0.0053715308863024,0.0065123010130245,0.0124777183600712,0.0126853377265239,0.0042119211831033,-0.1479654747225646,-0.0530582166543848,0.0050701671498132,5.3,-0.013154019829194,-0.0052729225661555,0.0029380080305552,,,,,,0.0184229918938836,0.0134428678117997,0.0143939393939394,,,,,,0.0126353790613717,0.012797074954296,0.012962962962963,,,,,,0.0128483230435507,0.0130155510480054,0.0131871895872581,,,,,,0.0042297364998662,0.0042477031649836,0.0042658231153316,,,,,,-0.0049079754601227,-0.0133171912832928,0.0036452004860265,,,,,,0.0142002989536622,-0.0323047251687559,0.0480040424456795,,,,,,-0.0017261512496183,0.0092429095970689,0.0148699891242547,,,,,,4.9,4.7,3.8,,,,,,3,0,0
1991-04-01,101.22,0.0014841199168893,0.0071890726096333,0.0105633802816902,-0.0032536196518626,0.0041942553103144,-0.1447178002894356,-0.0150453955901426,0.0151915983256831,5.2,0.0053715308863024,-0.013154019829194,-0.0052729225661555,0.0029380080305552,,,,,0.0065123010130245,0.0184229918938836,0.0134428678117997,0.0143939393939394,,,,,0.0124777183600712,0.0126353790613717,0.012797074954296,0.012962962962963,,,,,0.0126853377265239,0.0128483230435507,0.0130155510480054,0.0131871895872581,,,,,0.0042119211831033,0.0042297364998662,0.0042477031649836,0.0042658231153316,,,,,-0.1479654747225646,-0.0049079754601227,-0.0133171912832928,0.0036452004860265,,,,,-0.0530582166543848,0.0142002989536622,-0.0323047251687559,0.0480040424456795,,,,,0.0050701671498132,-0.0017261512496183,0.0092429095970689,0.0148699891242547,,,,,5.3,4.9,4.7,3.8,,,,,4,0,0
1991-07-01,100.41,-0.0080023710729104,0.0057102069950036,0.0104529616724737,-0.0032642402480822,0.0041767370089351,-0.015228426395939,0.0086910718988675,0.0129062805723385,6.1,0.0014841199168893,0.0053715308863024,-0.013154019829194,-0.0052729225661555,0.0029380080305552,,,,0.0071890726096333,0.0065123010130245,0.0184229918938836,0.0134428678117997,0.0143939393939394,,,,0.0105633802816902,0.0124777183600712,0.0126353790613717,0.012797074954296,0.012962962962963,,,,-0.0032536196518626,0.0126853377265239,0.0128483230435507,0.0130155510480054,0.0131871895872581,,,,0.0041942553103144,0.0042119211831033,0.0042297364998662,0.0042477031649836,0.0042658231153316,,,,-0.1447178002894356,-0.1479654747225646,-0.0049079754601227,-0.0133171912832928,0.0036452004860265,,,,-0.0150453955901426,-0.0530582166543848,0.0142002989536622,-0.0323047251687559,0.0480040424456795,,,,0.0151915983256831,0.0050701671498132,-0.0017261512496183,0.0092429095970689,0.0148699891242547,,,,5.2,5.3,4.9,4.7,3.8,,,,5,0,0
1991-10-01,102.01,0.0159346678617668,0.0145493257629523,0.010344827586207,-0.0032749304077288,0.004159364437555,-0.1048109965635739,-0.075195822454308,0.009443054288176,6.2,-0.0080023710729104,0.0014841199168893,0.0053715308863024,-0.013154019829194,-0.0052729225661555,0.0029380080305552,,,0.0057102069950036,0.0071890726096333,0.0065123010130245,0.0184229918938836,0.0134428678117997,0.0143939393939394,,,0.0104529616724737,0.0105633802816902,0.0124777183600712,0.0126353790613717,0.012797074954296,0.012962962962963,,,-0.0032642402480822,-0.0032536196518626,0.0126853377265239,0.0128483230435507,0.0130155510480054,0.0131871895872581,,,0.0041767370089351,0.0041942553103144,0.0042119211831033,0.0042297364998662,0.0042477031649836,0.0042658231153316,,,-0.015228426395939,-0.1447178002894356,-0.1479654747225646,-0.0049079754601227,-0.0133171912832928,0.0036452004860265,,,0.0086910718988675,-0.0150453955901426,-0.0530582166543848,0.0142002989536622,-0.0323047251687559,0.0480040424456795,,,0.0129062805723385,0.0151915983256831,0.0050701671498132,-0.0017261512496183,0.0092429095970689,0.0148699891242547,,,6.1,5.2,5.3,4.9,4.7,3.8,,,6,0,0
1992-01-01,102.32,0.0030389177531613,-0.0003497726477788,0.0102389078498292,-0.0032856908164942,0.0041421357852742,-0.2264875239923224,-0.0477696216826654,0.0157333180089838,6.6,0.0159346678617668,-0.0080023710729104,0.0014841199168893,0.0053715308863024,-0.013154019829194,-0.0052729225661555,0.0029380080305552,,0.0145493257629523,0.0057102069950036,0.0071890726096333,0.0065123010130245,0.0184229918938836,0.0134428678117997,0.0143939393939394,,0.010344827586207,0.0104529616724737,0.0105633802816902,0.0124777183600712,0.0126353790613717,0.012797074954296,0.012962962962963,,-0.0032749304077288,-0.0032642402480822,-0.0032536196518626,0.0126853377265239,0.0128483230435507,0.0130155510480054,0.0131871895872581,,0.004159364437555,0.0041767370089351,0.0041942553103144,0.0042119211831033,0.0042297364998662,0.0042477031649836,0.0042658231153316,,-0.1048109965635739,-0.015228426395939,-0.1447178002894356,-0.1479654747225646,-0.0049079754601227,-0.0133171912832928,0.0036452004860265,,-0.075195822454308,0.0086910718988675,-0.0150453955901426,-0.0530582166543848,0.0142002989536622,-0.0323047251687559,0.0480040424456795,,0.009443054288176,0.0129062805723385,0.0151915983256831,0.0050701671498132,-0.0017261512496183,0.0092429095970689,0.0148699891242547,,6.2,6.1,5.2,5.3,4.9,4.7,3.8,,7,0,0
1992-04-01,101.5,-0.0080140734949177,0.001399580125962,0.0050675675675675,-0.029751112576232,0.0041250492710727,-0.0744416873449131,0.0498695445920305,0.0169195779039845,6.3,0.0030389177531613,0.0159346678617668,-0.0080023710729104,0.0014841199168893,0.0053715308863024,-0.013154019829194,-0.0052729225661555,0.0029380080305552,-0.0003497726477788,0.0145493257629523,0.0057102069950036,0.0071890726096333,0.0065123010130245,0.0184229918938836,0.0134428678117997,0.0143939393939394,0.0102389078498292,0.010344827586207,0.0104529616724737,0.0105633802816902,0.0124777183600712,0.0126353790613717,0.012797074954296,0.012962962962963,-0.0032856908164942,-0.0032749304077288,-0.0032642402480822,-0.0032536196518626,0.0126853377265239,0.0128483230435507,0.0130155510480054,0.0131871895872581,0.0041421357852742,0.004159364437555,0.0041767370089351,0.0041942553103144,0.0042119211831033,0.0042297364998662,0.0042477031649836,0.0042658231153316,-0.2264875239923224,-0.1048109965635739,-0.015228426395939,-0.1447178002894356,-0.1479654747225646,-0.0049079754601227,-0.0133171912832928,0.0036452004860265,-0.0477696216826654,-0.075195822454308,0.0086910718988675,-0.0150453955901426,-0.0530582166543848,0.0142002989536622,-0.0323047251687559,0.0480040424456795,0.0157333180089838,0.009443054288176,0.0129062805723385,0.0151915983256831,0.0050701671498132,-0.0017261512496183,0.0092429095970689,0.0148699891242547,6.6,6.2,6.1,5.2,5.3,4.9,4.7,3.8,8,0,0
1992-07-01,102.32,0.0080788177339901,0.0118798043326346,0.0050420168067226,-0.0306633823154676,0.0041081031431962,-0.1286863270777479,-0.0818412877718157,0.0148171088942679,7.0,-0.0080140734949177,0.0030389177531613,0.0159346678617668,-0.0080023710729104,0.0014841199168893,0.0053715308863024,-0.013154019829194,-0.0052729225661555,0.001399580125962,-0.0003497726477788,0.0145493257629523,0.0057102069950036,0.0071890726096333,0.0065123010130245,0.0184229918938836,0.0134428678117997,0.0050675675675675,0.0102389078498292,0.010344827586207,0.0104529616724737,0.0105633802816902,0.0124777183600712,0.0126353790613717,0.012797074954296,-0.029751112576232,-0.0032856908164942,-0.0032749304077288,-0.0032642402480822,-0.0032536196518626,0.0126853377265239,0.0128483230435507,0.0130155510480054,0.0041250492710727,0.0041421357852742,0.004159364437555,0.0041767370089351,0.0041942553103144,0.0042119211831033,0.0042297364998662,0.0042477031649836,-0.0744416873449131,-0.2264875239923224,-0.1048109965635739,-0.015228426395939,-0.1447178002894356,-0.1479654747225646,-0.0049079754601227,-0.0133171912832928,0.0498695445920305,-0.0477696216826654,-0.075195822454308,0.0086910718988675,-0.0150453955901426,-0.0530582166543848,0.0142002989536622,-0.0323047251687559,0.0169195779039845,0.0157333180089838,0.009443054288176,0.0129062805723385,0.0151915983256831,0.0050701671498132,-0.0017261512496183,0.0092429095970689,6.3,6.6,6.2,6.1,5.2,5.3,4.9,4.7,9,0,0
