Date,House_Index,CPI,Poverty_Rate,Unemployment_Rate,Median_Household_Income,Population,Interest_Rate,Mortgage_Rate,GDP,House_Index_pct_change,CPI_pct_change,Poverty_Rate_pct_change,Median_Household_Income_pct_change,Population_pct_change,Interest_Rate_pct_change,Mortgage_Rate_pct_change,GDP_pct_change
1990-04-01,102.41,133.9,13.675,3.8,59160.0,4105.955,8.26,10.37,5960.028,0.002938008030555217,0.014393939393939403,0.012962962962963065,0.013187189587258175,0.004265823115331635,0.0036452004860265674,0.04800404244567957,0.014869989124254746
1990-07-01,101.87,135.7,13.85,4.7,59930.0,4123.39587804878,8.15,10.035,6015.116,-0.005272922566155525,0.013442867811799708,0.01279707495429605,0.013015551048005447,0.004247703164983685,-0.013317191283292895,-0.03230472516875593,0.009242909597068971
1990-10-01,100.53,138.2,14.025,4.9,60700.0,4140.836756097561,8.11,10.1775,6004.733,-0.013154019829194064,0.018422991893883633,0.012635379061371799,0.012848323043550769,0.0042297364998662434,-0.004907975460122782,0.01420029895366226,-0.0017261512496183906
1991-01-01,101.07,139.1,14.2,5.3,61470.0,4158.277634146341,6.91,9.6375,6035.178,0.005371530886302489,0.0065123010130245795,0.012477718360071277,0.012685337726523915,0.004211921183103318,-0.1479654747225646,-0.053058216654384815,0.005070167149813232
1991-04-01,101.22,140.1,14.35,5.2,61270.0,4175.718512195122,5.91,9.4925,6126.862,0.0014841199168893482,0.007189072609633307,0.010563380281690238,-0.0032536196518626603,0.004194255310314476,-0.1447178002894356,-0.015045395590142618,0.015191598325683175
1991-07-01,100.41,140.9,14.5,6.1,61070.0,4193.159390243903,5.82,9.575,6205.937,-0.008002371072910464,0.005710206995003686,0.010452961672473782,-0.0032642402480822508,0.004176737008935172,-0.015228426395939021,0.00869107189886753,0.012906280572338558
1991-10-01,102.01,142.95,14.65,6.2,60870.0,4210.600268292683,5.21,8.855,6264.54,0.015934667861766894,0.014549325762952314,0.010344827586207028,-0.00327493040772886,0.0041593644375550465,-0.10481099656357395,-0.075195822454308,0.009443054288176045
1992-01-01,102.32,142.9,14.8,6.6,60670.0,4228.041146341463,4.03,8.431999999999999,6363.102,0.003038917753161341,-0.000349772647778801,0.010238907849829282,-0.0032856908164942134,0.004142135785274226,-0.22648752399232241,-0.04776962168266541,0.01573331800898381
1992-04-01,101.5,143.1,14.875,6.3,58865.0,4245.482024390244,3.73,8.8525,6470.763,-0.008014073494917784,0.0013995801259620855,0.0050675675675675436,-0.029751112576232086,0.004125049271072712,-0.07444168734491319,0.049869544592030524,0.016919577903984573
1992-07-01,102.32,144.8,14.95,7.0,57060.0,4262.922902439024,3.25,8.128,6566.641,0.008078817733990107,0.011879804332634691,0.005042016806722671,-0.030663382315467613,0.004108103143196207,-0.12868632707774796,-0.08184128777181576,0.014817108894267905
1992-10-01,102.43,146.45,15.025,6.6,55255.0,4280.363780487804,3.1,8.088,6680.803,0.0010750586395622541,0.011395027624309328,0.0050167224080268635,-0.03163336838415698,0.004091295678559259,-0.0461538461538461,-0.004921259842519787,0.017385144094218097
1993-01-01,102.2,147.8,15.1,6.8,53450.0,4297.8046585365855,3.02,7.9925,6729.459,-0.002245435907449078,0.00921816319563007,0.004991680532445919,-0.0326667269930323,0.004074625182159952,-0.02580645161290329,-0.011807616221562789,0.0072829568541386
1993-04-01,102.4,148.85,14.95,6.1,54510.0,4315.245536585366,2.96,7.471999999999999,6808.939,0.001956947162426559,0.007104194857916024,-0.009933774834437137,0.01983161833489233,0.00405808998650925,-0.019867549668874163,-0.0651235533312482,0.011810756258415545
1993-07-01,102.42,149.2,14.8,6.8,55570.0,4332.686414634146,3.06,7.206,6882.098,0.0001953125000000444,0.0023513604299629787,-0.010033444816053394,0.019445973215923784,0.004041688451077441,0.03378378378378377,-0.035599571734475144,0.010744552124787754
1993-10-01,102.96,150.3,14.65,6.3,56630.0,4350.127292682927,2.99,6.8340000000000005,7013.738,0.005272407732864526,0.00737265415549615,-0.010135135135135198,0.01907504048947284,0.004025418961749017,-0.02287581699346397,-0.051623646960865965,0.019127888036468033
1994-01-01,103.15,150.9,14.5,6.3,57690.0,4367.568170731707,3.05,7.0600000000000005,7115.652,0.0018453768453770003,0.003992015968063756,-0.010238907849829393,0.018717993996115068,0.004009279930294429,0.020066889632106788,0.03306994439566879,0.014530625466762537
1994-04-01,102.23,151.45,14.325,5.6,57652.5,4385.009048780487,3.56,8.315999999999999,7246.931,-0.008919049927290423,0.0036447978793903157,-0.012068965517241459,-0.0006500260010400272,0.0039932697938538375,0.1672131147540985,0.1779036827195466,0.018449328325780945
1994-07-01,101.16,151.8,14.15,6.0,57615.0,4402.449926829268,4.26,8.614,7331.075,-0.010466594932994289,0.0023109937273029235,-0.012216404886561838,-0.0006504488096786831,0.003977387014430844,0.196629213483146,0.035834535834536,0.011610984015164583
1994-10-01,100.28,153.35,13.975,5.8,57577.5,4419.890804878049,4.76,8.925,7455.288,-0.008699090549624366,0.010210803689064463,-0.012367491166077826,-0.0006508721687060737,0.003961630078400891,0.11737089201877926,0.03610401671697239,0.016943354146561118
1995-01-01,100.0,153.8,13.8,6.1,57540.0,4437.331682926829,5.53,9.1475,7522.289,-0.002792181890706069,0.002934463645255958,-0.012522361359570633,-0.0006512960791975608,0.003945997496031195,0.16176470588235303,0.02492997198879543,0.008987043827146657
1995-04-01,100.89,154.9,13.775,5.9,57725.0,4454.77256097561,6.05,8.32,7580.997,0.008899999999999908,0.007152145643693153,-0.0018115942028985588,0.003215154675008769,0.003930487801010463,0.09403254972875219,-0.09046187482918833,0.007804539283188916
1995-07-01,102.14,156.1,13.75,6.5,57910.0,4472.21343902439,5.85,7.6075,7683.125,0.012389731390623382,0.007746933505487386,-0.001814882032667886,0.0032048505846686837,0.003915099549989254,-0.03305785123966942,-0.08563701923076927,0.01347157900207585
1995-10-01,102.87,155.7,13.725,6.0,58095.0,4489.654317073171,5.76,7.475,7772.586,0.007147053064421316,-0.002562459961563124,-0.0018181818181818299,0.0031946123294768203,0.0038998313221352277,-0.01538461538461533,-0.01741702267499179,0.011643829821849971
1996-01-01,104.04,156.8,13.7,5.9,58280.0,4507.095195121951,5.56,7.029999999999999,7868.468,0.01137357830271224,0.0070648683365448495,-0.0018214936247723523,0.0031844392804889488,0.0038846817186919402,-0.03472222222222221,-0.059531772575250885,0.012335920117191312
1996-04-01,102.69,158.7,13.6,5.8,57927.5,4524.536073170732,5.22,7.925000000000001,8032.84,-0.012975778546712835,0.01211734693877542,-0.007299270072992692,-0.006048387096774244,0.003869649362555627,-0.0611510791366906,0.12731152204836427,0.02088996231540885
1996-07-01,101.68,160.1,13.5,6.4,57575.0,4541.976951219513,5.4,8.245000000000001,8131.408,-0.009835427013341058,0.008821676118462518,-0.007352941176470562,-0.006085192697768749,0.0038547328978544293,0.034482758620689724,0.04037854889589898,0.012270629067677286
1996-10-01,102.37,161.0,13.4,5.9,57222.5,4559.417829268293,5.24,7.915,8259.771,0.006785995279307677,0.0056214865708932304,-0.007407407407407418,-0.006122448979591799,0.003839930989543605,-0.029629629629629672,-0.040024257125530704,0.0157860729654693
1997-01-01,102.79,161.6,13.3,6.0,56870.0,4576.858707317073,5.25,7.824,8362.655,0.004102764481781707,0.003726708074534235,-0.007462686567164201,-0.006160164271047264,0.0038252423230049626,0.00190839694656475,-0.011497157296272875,0.012456035403402899
1997-04-01,102.37,162.0,13.15,5.5,57370.0,4594.299585365854,5.51,8.1425,8518.825,-0.004086000583714333,0.0024752475247524774,-0.011278195488721776,0.008791981712678032,0.003810665603659169,0.049523809523809526,0.04070807770961138,0.01867469123143306
1997-07-01,103.33,162.9,13.0,6.1,57870.0,4611.740463414634,5.52,7.4975,8662.823,0.009377747386929647,0.005555555555555536,-0.011406844106463865,0.008715356458079082,0.0037961995565840567,0.001814882032667775,-0.07921400061406203,0.016903504884769882
1997-10-01,104.11,162.7,12.85,6.0,58370.0,4629.181341463414,5.5,7.294,8765.907,0.007548630600987094,-0.0012277470841007831,-0.011538461538461608,0.008640055296353921,0.003781842926144696,-0.0036231884057970065,-0.027142380793597876,0.011899585158325232
