,Forecast,Lower_CI,Upper_CI,Level_Forecast,Level_Lower_CI,Level_Upper_CI
2023-04-01,-0.5661810136746993,-5.917465537096167,4.785103509746769,,,
2023-07-01,-1.691157928720417,-7.042442452141884,3.6601265947010506,,,
2023-10-01,-1.9546427250323397,-7.305927248453807,3.396641798389128,,,
2024-01-01,-5.036831750229613,-10.38811627365108,0.3144527731918547,,,
2024-04-01,-6.52447511449951,-11.875759637920979,-1.1731905910780425,,,
2024-07-01,-7.362719828111236,-12.714004351532704,-2.011435304689768,,,
2024-10-01,-8.697567989221016,-14.048852512642483,-3.346283465799548,,,
2025-01-01,-10.95724565071072,-16.308530174132187,-5.605961127289252,,,
