date,ZHVI,ZHVF,Median_Price,Inventory_Price,Market_Price
2000-01-31,179200.92931434308,,,,
2000-02-29,179346.63355641498,,,,
2000-03-31,179615.1761179519,,,,
2000-04-30,180223.23366642024,,,,
2000-05-31,181147.58450721987,,,,
2000-06-30,182260.166250005,,,,
2000-07-31,183644.4525273534,,,,
2000-08-31,185187.0920845516,,,,
2000-09-30,186771.6997684237,,,,
2000-10-31,188359.2000024078,,,,
2000-11-30,189915.62296800225,,,,
2000-12-31,191629.48283113452,,,,
2001-01-31,193160.24026975245,,,,
2001-02-28,194520.98750466784,,,,
2001-03-31,195901.4355832926,,,,
2001-04-30,197649.4019914701,,,,
2001-05-31,199734.9307861332,,,,
2001-06-30,201958.6421508215,,,,
2001-07-31,204256.31194825107,,,,
2001-08-31,206618.28345553568,,,,
2001-09-30,208946.94811479145,,,,
2001-10-31,211164.9598986494,,,,
2001-11-30,213353.94437950532,,,,
2001-12-31,215516.95542598356,,,,
2002-01-31,217459.55271835,,,,
2002-02-28,219232.99859640657,,,,
2002-03-31,221071.5564535924,,,,
2002-04-30,223308.34932273245,,,,
2002-05-31,225950.54201477417,,,,
2002-06-30,228891.8561222861,,,,
2002-07-31,232110.2970847909,,,,
2002-08-31,235507.64670878544,,,,
2002-09-30,238817.3880501156,,,,
2002-10-31,241876.6148058004,,,,
2002-11-30,244597.6219348548,,,,
2002-12-31,247188.82738161623,,,,
2003-01-31,249443.0736249237,,,,
2003-02-28,251846.798537006,,,,
2003-03-31,254389.56345654337,,,,
2003-04-30,257321.73117558577,,,,
2003-05-31,260374.9591486135,,,,
2003-06-30,263616.10648861044,,,,
2003-07-31,267014.23887325154,,,,
2003-08-31,270414.6742497686,,,,
2003-09-30,273853.47974676546,,,,
2003-10-31,277296.3296090749,,,,
2003-11-30,280583.80434560095,,,,
2003-12-31,283639.37431877624,,,,
2004-01-31,286402.0668376644,,,,
2004-02-29,289510.4273157253,,,,
2004-03-31,293028.7960124652,,,,
2004-04-30,297369.72849109734,,,,
2004-05-31,302469.5610275042,,,,
2004-06-30,308384.9990410253,,,,
2004-07-31,315222.54962925223,,,,
2004-08-31,322267.67215305264,,,,
2004-09-30,329347.75875113223,,,,
2004-10-31,335353.03549568943,,,,
2004-11-30,340532.81131922064,,,,
2004-12-31,345426.958463568,,,,
2005-01-31,350658.7808189919,,,,
2005-02-28,355935.37301757425,,,,
2005-03-31,361417.1737652428,,,,
2005-04-30,367803.732431754,,,,
2005-05-31,375339.199386996,,,,
2005-06-30,383138.0611899944,,,,
2005-07-31,390634.6477487808,,,,
2005-08-31,397355.1817484086,,,,
2005-09-30,403723.75294539565,,,,
2005-10-31,409437.9529008967,,,,
2005-11-30,414189.58853974,,,,
2005-12-31,418401.33733763016,,,,
2006-01-31,421962.8741655138,,,,
2006-02-28,425445.9390230433,,,,
2006-03-31,428958.7791304568,,,,
2006-04-30,432150.49425809627,,,,
2006-05-31,434766.9483113226,,,,
2006-06-30,436218.3491984664,,,,
2006-07-31,436993.9704944489,,,,
2006-08-31,436981.8350370967,,,,
2006-09-30,435540.0190343298,,,,
2006-10-31,433050.2928092529,,,,
2006-11-30,430698.6996100434,,,,
2006-12-31,429023.2547394692,,,,
2007-01-31,427663.3343277851,,,,
2007-02-28,426337.1537847046,,,,
2007-03-31,425111.67013936304,,,,
2007-04-30,424365.16542981495,,,,
2007-05-31,423326.97445986746,,,,
2007-06-30,421307.24557761726,,,,
2007-07-31,418495.14895159024,,,,
2007-08-31,415325.84998974326,,,,
2007-09-30,412504.4742995724,,,,
2007-10-31,409290.3317949089,,,,
2007-11-30,405767.72169454704,,,,
2007-12-31,401683.333821537,,,,
2008-01-31,397719.1373492128,,,,
2008-02-29,393500.18813053006,,,,
2008-03-31,388716.9519599715,,,,
2008-04-30,383395.104466353,,,,
2008-05-31,377381.4164750169,,,,
2008-06-30,371497.4403822045,,,,
2008-07-31,365518.7662672804,,,,
2008-08-31,359862.0157135683,,,,
2008-09-30,354111.1162874972,,,,
2008-10-31,348798.47108166566,,,,
2008-11-30,344137.88492855226,,,,
2008-12-31,340176.799026275,,,,
2009-01-31,336087.9109308574,,,,
2009-02-28,332055.3110106128,,,,
2009-03-31,328194.4587432207,,,,
2009-04-30,324923.1031588685,,,,
2009-05-31,322681.45089611807,,,,
2009-06-30,321127.1121093749,,,,
2009-07-31,319827.1323291267,,,,
2009-08-31,318318.94249327254,,,,
2009-09-30,316574.914242907,,,,
2009-10-31,315311.07232876186,,,,
2009-11-30,314893.3632750521,,,,
2009-12-31,315539.9238034326,,,,
2010-01-31,316887.83065671247,,,,
2010-02-28,317886.0593989335,,,,
2010-03-31,319016.7695225681,,,,
2010-04-30,320227.82577620057,,,,
2010-05-31,321763.9403361115,,,,
2010-06-30,322434.83119731053,,,,
2010-07-31,322084.3580366385,,,,
2010-08-31,320918.04299136694,,,,
2010-09-30,319669.9032282136,,,,
2010-10-31,318477.2927053784,,,,
2010-11-30,317165.7462315569,,,,
2010-12-31,316106.9567113441,,,,
2011-01-31,315525.0564130594,,,,
2011-02-28,315864.6676234811,,,,
2011-03-31,316179.83796301344,,,,
2011-04-30,316345.4942377089,,,,
2011-05-31,315796.58588089974,,,,
2011-06-30,315372.00606085453,,,,
2011-07-31,314542.3048266128,,,,
2011-08-31,313643.92992158746,,,,
2011-09-30,312370.51615084073,,,,
2011-10-31,311336.1320715475,,,,
2011-11-30,311060.41037792497,,,,
2011-12-31,311049.9643033417,,,,
2012-01-31,311217.7884449719,,,,63902.89324402512
2012-02-29,311676.6584142207,,,,63860.92085075786
2012-03-31,312705.91464322835,,,,64440.78868433175
2012-04-30,314451.2365287827,,,,64540.07373779164
2012-05-31,316114.68313264934,,,,64229.36486353441
2012-06-30,318086.75450836704,,,,63911.76405137132
2012-07-31,319819.93527610804,,,,63534.97178737521
2012-08-31,321794.560270944,,,,64219.62624092004
2012-09-30,324046.7743669765,,,,64050.99533452821
2012-10-31,326561.4784469893,,,,63866.49828841368
2012-11-30,329115.6743899212,,,,64174.20994511965
2012-12-31,331135.01094479364,,,,64518.77267898637
2013-01-31,333049.37852159934,,,,65891.03140284531
2013-02-28,335073.9135708024,,,,66990.64715271136
2013-03-31,337081.36255561054,,,,67580.850770457
2013-04-30,339152.4337930465,,,,67260.38839472769
2013-05-31,341273.58768914227,,,,68226.9388107136
2013-06-30,343829.1332364893,,,,72069.75866255147
2013-07-31,346219.2071649416,,,,74501.93197985088
2013-08-31,348527.5620696487,,,,75555.50789308816
2013-09-30,350813.38730783784,,,,76267.1984545332
2013-10-31,353336.1204313009,,,,74820.20631430484
2013-11-30,355732.5598755935,,,,75735.62174307385
2013-12-31,357797.77735921735,,,,77533.80423756348
2014-01-31,359406.2606645106,,,,79821.40283895428
2014-02-28,360912.1484433068,,,,79271.74257564776
2014-03-31,362407.3790860404,,,,79871.98112060224
2014-04-30,364123.65706446953,,,,80212.42803442277
2014-05-31,365462.0553799253,,,,79510.83063580428
2014-06-30,366351.4050625672,,,,79507.28055181011
2014-07-31,366652.8046329828,,,,79361.53937191269
2014-08-31,366742.3364888716,,,,79291.39629511289
2014-09-30,367215.206398407,,,,79726.73795492617
2014-10-31,367840.53861464985,,,,79006.24369572428
2014-11-30,368659.52251656685,,,,78925.14616396088
2014-12-31,369115.6563525284,,,,78126.77804981677
2015-01-31,369637.3506632373,,,,76903.13101356037
2015-02-28,370345.9010429544,,,,77318.19497704897
2015-03-31,371221.0943144532,,,,77903.8645782975
2015-04-30,371706.0017605585,,,,77347.81557791056
2015-05-31,371875.7277788855,,,,78523.7359509195
2015-06-30,371937.292101792,,,,79515.65746704102
2015-07-31,372421.9197509468,,,,80058.55219242224
2015-08-31,373162.3381394939,,,,79248.60371529222
