RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30
394495,363,"Cookeville, TN",msa,TN,142508.0,145342.0,140570.0,135566.0,136995.0,143317.0,142134.0,141586.0,144210.0,146322.0,148347.0,150016.0,149645.0,150931.0,153323.0,153835.0,156548.0,150840.0,152498.0,154847.0,164532.0,173694.0,174149.0,172787.0,171150.0,173714.0,176218.0,182035.0,185110.0,188591.0,186820.0,186969.0,192093.0,195934.0,202416.0,210021.0,215828.0,221673.0,234949.0,239056.0,241560.0,238541.0,243301.0,253461.0,254239.0,259559.0,261542.0,256404.0,251931.0,242790.0,242925.0,242127.0,241732.0,245700.0,241524.0,243312.0,242253.0,253450.0,248339.0,244776.0,246582.0,259007.0,268689.0,258161.0,248882.0,250811.0,258980.0,270836.0,270315.0,280631.0,282961.0,272375.0,265841.0,270777.0,274794.0,283925.0
394893,364,"Muncie, IN",msa,IN,96090.0,94071.0,91608.0,93043.0,93532.0,96893.0,103779.0,104278.0,101893.0,99788.0,100557.0,103977.0,103235.0,106324.0,112234.0,114233.0,110952.0,111789.0,116075.0,124809.0,122963.0,117275.0,112713.0,110259.0,112274.0,112589.0,113269.0,113558.0,112986.0,114581.0,115897.0,114344.0,113098.0,113052.0,120908.0,121929.0,126835.0,124262.0,130607.0,127200.0,130216.0,123680.0,125317.0,124076.0,125322.0,127446.0,129334.0,130440.0,133224.0,134228.0,140451.0,138810.0,136250.0,134624.0,139298.0,141412.0,141436.0,140408.0,149968.0,148268.0,148152.0,145668.0,152414.0,152902.0,144185.0,138255.0,143496.0,157923.0,159042.0,153359.0,149207.0,156871.0,156743.0,152312.0,153959.0,162775.0
394857,365,"Michigan City, IN",msa,IN,137665.0,137145.0,141137.0,142959.0,138034.0,126039.0,129222.0,134030.0,143033.0,142638.0,143586.0,145576.0,145229.0,139020.0,140830.0,144500.0,151041.0,148234.0,144545.0,143765.0,142412.0,146684.0,149610.0,157039.0,158324.0,166702.0,165541.0,165568.0,161124.0,166776.0,168692.0,170603.0,163270.0,163213.0,160377.0,159554.0,161320.0,159506.0,164709.0,163082.0,168349.0,167587.0,175827.0,191060.0,198413.0,192205.0,182427.0,182822.0,187866.0,190126.0,187697.0,189743.0,184140.0,186358.0,180543.0,181526.0,183633.0,193608.0,197403.0,194339.0,185558.0,185997.0,195027.0,202760.0,204468.0,202059.0,194576.0,202513.0,209645.0,213328.0,218854.0,214505.0,235450.0,234228.0,238037.0,232354.0
395039,366,"Roseburg, OR",msa,OR,209085.0,200460.0,197970.0,202110.0,210047.0,223260.0,224887.0,219503.0,207908.0,205114.0,217717.0,223607.0,227085.0,229309.0,230729.0,232048.0,230595.0,234761.0,241516.0,239873.0,233058.0,225638.0,228382.0,231197.0,236997.0,238438.0,250833.0,252727.0,255250.0,266712.0,266919.0,277178.0,267332.0,269424.0,263347.0,267908.0,281310.0,291580.0,297012.0,299734.0,302965.0,291293.0,298927.0,306686.0,327330.0,338267.0,339043.0,338851.0,322129.0,315167.0,314943.0,311663.0,311097.0,294722.0,298031.0,294654.0,303241.0,311870.0,324161.0,320672.0,313636.0,301436.0,300125.0,298661.0,306256.0,319802.0,318803.0,318250.0,306835.0,312383.0,317088.0,322136.0,324565.0,323000.0,332272.0,328785.0
394788,367,"Lewiston, ME",msa,ME,164719.0,162802.0,157236.0,157423.0,159214.0,166821.0,167961.0,171847.0,164297.0,158942.0,158023.0,169290.0,176464.0,177800.0,172467.0,172761.0,170988.0,174316.0,174017.0,180507.0,184511.0,186861.0,184499.0,190264.0,202516.0,207816.0,209749.0,204545.0,207122.0,204181.0,205397.0,209444.0,216592.0,222595.0,226924.0,230969.0,234091.0,238388.0,236383.0,238178.0,242386.0,244455.0,246706.0,243639.0,248980.0,254638.0,263578.0,270824.0,270150.0,265207.0,257696.0,255247.0,264285.0,280727.0,288531.0,288004.0,286896.0,285621.0,297903.0,303061.0,306975.0,304163.0,304728.0,306417.0,305440.0,296562.0,293268.0,305549.0,312987.0,327694.0,315486.0,320430.0,311723.0,315186.0,315659.0,324580.0
394804,368,"Longview, WA",msa,WA,238730.0,241474.0,241878.0,246748.0,247621.0,243393.0,247244.0,246651.0,258785.0,256351.0,257398.0,252572.0,259631.0,264615.0,271563.0,270338.0,271420.0,276165.0,277059.0,284601.0,287339.0,288838.0,279997.0,282348.0,292264.0,300413.0,299865.0,306905.0,309963.0,314691.0,302313.0,310955.0,323467.0,339613.0,344295.0,340903.0,343837.0,347098.0,348530.0,347871.0,349494.0,351437.0,355869.0,350328.0,350106.0,355130.0,357818.0,356971.0,345247.0,345464.0,349447.0,346374.0,339652.0,340208.0,351000.0,358145.0,363554.0,376660.0,374559.0,375736.0,360187.0,363248.0,353992.0,361815.0,366809.0,374798.0,369310.0,364329.0,364562.0,377964.0,394876.0,396388.0,384423.0,367089.0,372070.0,374588.0
394932,369,"Ogdensburg, NY",msa,NY,,,,,,,,,,,,,,,,,,,,84928.0,83750.0,85396.0,84755.0,90107.0,89852.0,95447.0,99306.0,101130.0,100332.0,105215.0,114677.0,119022.0,117018.0,115001.0,111490.0,106962.0,103871.0,111166.0,126152.0,131531.0,140833.0,125069.0,107038.0,109370.0,117699.0,138424.0,134368.0,134651.0,134770.0,125607.0,133834.0,131904.0,136509.0,133014.0,122893.0,116101.0,114414.0,116367.0,120787.0,123266.0,124937.0,122493.0,124278.0,133709.0,133263.0,119987.0,118408.0,114850.0,132156.0,123108.0,127669.0,126521.0,142850.0,150302.0,150670.0,136846.0
394734,370,"Kankakee, IL",msa,IL,137953.0,141785.0,141283.0,146411.0,145636.0,149029.0,143581.0,141350.0,136058.0,134738.0,141506.0,142219.0,148063.0,142649.0,139978.0,141572.0,140255.0,145393.0,142100.0,147686.0,146706.0,145633.0,141445.0,147011.0,149632.0,155878.0,158454.0,159031.0,162229.0,170352.0,177483.0,176392.0,171603.0,161702.0,159964.0,159323.0,162670.0,159721.0,157324.0,160333.0,163432.0,171256.0,165731.0,172514.0,161873.0,176895.0,171570.0,178465.0,170562.0,167944.0,169622.0,163061.0,168910.0,160280.0,156498.0,147683.0,148783.0,163859.0,168918.0,174767.0,166706.0,179388.0,179950.0,187473.0,181872.0,182085.0,178133.0,178651.0,183097.0,183986.0,186343.0,186981.0,183385.0,183897.0,187708.0,201569.0
394396,371,"Bluefield, WV",msa,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109191.0,103380.0,120387.0,120722.0,122874.0,125614.0,134390.0,126745.0,130750.0,132424.0
395095,372,"Show Low, AZ",msa,AZ,194562.0,186135.0,189922.0,191529.0,197995.0,207241.0,218228.0,220652.0,215877.0,217328.0,218283.0,228017.0,230673.0,231525.0,221057.0,219698.0,215916.0,213118.0,214620.0,217106.0,232297.0,228261.0,232375.0,233418.0,255788.0,260919.0,276985.0,273379.0,279827.0,268870.0,271830.0,279270.0,286279.0,299231.0,309026.0,314496.0,315794.0,317525.0,320024.0,330388.0,333044.0,350474.0,330514.0,336398.0,325671.0,346091.0,353522.0,362523.0,369324.0,368743.0,365035.0,356962.0,333845.0,344927.0,344797.0,355170.0,341017.0,348255.0,360217.0,377293.0,388278.0,404097.0,413320.0,394497.0,388079.0,371415.0,371998.0,383985.0,398263.0,414153.0,417990.0,413767.0,414060.0,411997.0,404213.0,404217.0
