Date,House_Index_diff1,CPI_diff1,Poverty_Rate_diff1,Unemployment_Rate,Median_Household_Income_diff1,Population_diff1,Interest_Rate_diff1,Mortgage_Rate_diff1,GDP_diff1,Unemployment_Rate_lag3,Median_Household_Income_diff1_lag5,Population_diff1_lag3,Interest_Rate_diff1_lag1,Mortgage_Rate_diff1_lag2,Mortgage_Rate_diff1_lag1,GDP_diff1_lag1,CPI_diff1_roll_mean_4,CPI_diff1_roll_std_4,Poverty_Rate_diff1_roll_mean_4,Poverty_Rate_diff1_roll_std_4,Unemployment_Rate_roll_mean_4,Unemployment_Rate_roll_std_4,Median_Household_Income_diff1_roll_mean_4,Median_Household_Income_diff1_roll_std_4,Population_diff1_roll_mean_4,Population_diff1_roll_std_4,Interest_Rate_diff1_roll_mean_4,Interest_Rate_diff1_roll_std_4,Mortgage_Rate_diff1_roll_mean_4,Mortgage_Rate_diff1_roll_std_4,GDP_diff1_roll_mean_4,GDP_diff1_roll_std_4,PriceToIncome_diff1,Recession
1985-07-01,1.4399999999999977,1.2999999999999972,0.0,2.7,1812.5,0.0,-0.3899999999999997,-1.1624999999999996,91.88600000000042,2.7,-15.0,0.0,-0.08000000000000007,-1.0550000000000015,0.120000000000001,64.71900000000005,1.2749999999999986,0.7331439149307567,0.0,0.0,2.7,0.0,898.75,1055.107616944041,0.0,0.0,-0.8375000000000001,0.725735259351967,-0.65875,0.586495595323046,75.63075000000003,13.509229743031185,-1.0837573148034978e-05,0
1985-10-01,0.4200000000000017,0.6500000000000057,0.0,2.7,1812.5,0.0,0.11000000000000032,0.10249999999999915,57.32099999999991,2.7,-15.0,0.0,-0.3899999999999997,0.120000000000001,-1.1624999999999996,91.88600000000042,0.9500000000000028,0.612372435695796,0.0,0.0,2.7,0.0,1355.625,913.7500000000001,0.0,0.0,-0.5,0.7874431196389153,-0.49875000000000025,0.7057693792356445,73.88574999999992,15.728969819518865,-2.7452096841878776e-05,0
1986-01-01,0.9099999999999966,2.049999999999997,0.0,2.7,1812.5,0.0,0.15000000000000036,-1.2490000000000006,63.80000000000018,2.7,-15.0,0.0,0.11000000000000032,-1.1624999999999996,0.10249999999999915,57.32099999999991,1.4000000000000021,0.5873670062235341,0.0,0.0,2.7,0.0,1812.5,0.0,0.0,0.0,-0.05249999999999977,0.24635678733630728,-0.54725,0.7612234122341045,69.43150000000014,15.3274288885429,-1.776252006587941e-05,0
1986-04-01,1.7900000000000063,-0.6500000000000057,0.0,2.7,1397.5,0.0,-1.1500000000000004,-0.9484999999999992,37.44599999999991,2.7,-15.0,0.0,0.15000000000000036,0.10249999999999915,-1.2490000000000006,63.80000000000018,0.8374999999999986,1.1448253141855318,0.0,0.0,2.7,0.0,1708.75,207.50000000000037,0.0,0.0,-0.31999999999999984,0.6054199644324042,-0.8143750000000001,0.6241632231769716,62.61325000000011,22.50704075580225,4.498037054775396e-06,0
1986-07-01,1.980000000000004,-0.04999999999999716,0.0,2.7,1397.5,0.0,-0.4300000000000006,0.5700000000000003,62.32899999999972,2.7,1812.5,0.0,-1.1500000000000004,-1.2490000000000006,-0.9484999999999992,37.44599999999991,0.5,1.1618950038622253,0.0,0.0,2.7,0.0,1605.0,239.60036171369504,0.0,0.0,-0.33000000000000007,0.6072890580275593,-0.3812500000000001,0.8590019887443023,55.22399999999993,12.17214708532013,7.286250874715761e-06,0
1986-10-01,1.6700000000000017,1.3499999999999943,0.0,2.7,1397.5,0.0,-0.71,-0.5335000000000001,49.95800000000054,2.7,1812.5,0.0,-0.4300000000000006,-0.9484999999999992,0.5700000000000003,62.32899999999972,0.6749999999999972,1.2419742348374214,0.0,0.0,2.7,0.0,1501.25,207.5000000000004,0.0,0.0,-0.5350000000000001,0.5443956894269707,-0.5402499999999999,0.7961773776406027,53.38325000000009,12.305329451772758,2.2062513176507575e-06,0
1987-01-01,2.0799999999999983,0.8500000000000085,0.0,2.7,1397.5,0.0,0.5800000000000001,-0.7699999999999996,64.52899999999954,2.7,1812.5,0.0,-0.71,0.5700000000000003,-0.5335000000000001,49.95800000000054,0.375,0.895823643358447,0.0,0.0,2.7,0.0,1397.5,0.0,0.0,0.0,-0.4275000000000002,0.734137816307901,-0.42049999999999965,0.6818586119326105,53.56549999999993,12.51465275853315,8.285334978152875e-06,0
1987-04-01,2.569999999999993,1.2000000000000028,0.0,2.7,-1007.5,0.0,-0.05999999999999961,0.628499999999999,84.0039999999999,2.7,1812.5,0.0,0.5800000000000001,-0.5335000000000001,-0.7699999999999996,64.52899999999954,0.8375000000000021,0.6276610019216825,0.0,0.0,2.7,0.0,796.25,1202.5,0.0,0.0,-0.15500000000000003,0.5576438528905941,-0.026250000000000107,0.7290812140404291,65.20499999999993,14.07837303573561,5.626636257671509e-05,0
1987-07-01,3.9200000000000017,1.2999999999999972,0.0,2.7,-1007.5,0.0,0.20999999999999996,0.4455000000000009,78.39500000000044,2.7,1397.5,0.0,-0.05999999999999961,-0.7699999999999996,0.628499999999999,84.0039999999999,1.1750000000000007,0.22546248764113852,0.0,0.0,2.7,0.0,195.0,1388.5273974010502,0.0,0.0,0.0050000000000001155,0.5440894534296112,-0.057374999999999954,0.6970980771503148,69.2215000000001,15.229110249781382,7.898431213182e-05,0
1987-10-01,2.6599999999999966,1.9500000000000028,0.0,2.7,-1007.5,0.0,0.71,0.9819999999999993,123.4389999999994,2.7,1397.5,0.0,0.20999999999999996,0.628499999999999,0.4455000000000009,78.39500000000044,1.3250000000000028,0.45916591046519506,0.0,0.0,2.7,0.0,-406.25,1202.5,0.0,0.0,0.3600000000000001,0.35109352979892167,0.3214999999999999,0.7609768940863662,87.59174999999982,25.261089516949255,6.162285471661855e-05,0
