Date,ZHVI_pct_change,prev_qtr_change,CPI,Median_Household_Income,ma2q_price_change,ma2q_price_change_std,population_momentum,population_momentum_std,real_mortgage_rate,affordability_pressure_std,affordability_pressure,affordability_change,ma4q_price_change,zhvi_approx,price_to_income,hot_market,pca_component_1,pca_component_2,pca_component_3,pca_component_4,pca_component_5
2002-07-01,4.170840275328436,3.0993846210591425,185.0,42687.24255178015,2.9346340939719555,0.7952490639826528,-0.05857226407474935,-0.6188111093297348,6.261674303434231,-0.08713769606826868,-0.0025915022138325305,-0.0025915022138325305,3.1368542025621395,353604.8780249739,8.283619575474964,1,0.7292786576053629,2.7909587968135465,-0.8210225176388637,0.00018229881764379838,3.517648282244424
2002-10-01,3.854242698587784,4.170840275328436,185.61666666666667,44303.2107156497,3.635112448193789,1.1100190253166644,-0.05857226407474935,-0.6188111093297348,6.043744925386969,0.02895824542878839,0.0006613914643560648,0.0006613914643560648,3.325355189357371,367233.6682181017,8.289098290756156,1,0.8754055174267211,2.785188728974642,-0.6516520220043776,-0.5561065815641888,3.3473571456886106
2003-01-01,3.000883181574343,3.854242698587784,187.55000000000004,45186.03482871177,4.01254148695811,1.2796221589783148,-0.05857226407474935,-0.6188111093297348,5.798025835866261,0.3581489353957809,0.00988498964103579,0.00988498964103579,3.4735877904650327,378253.92160473723,8.371035941493808,1,1.1785330145097808,3.5895460302409252,-0.4117063519328786,-0.6659354168135815,3.5742422653324017
2003-07-01,3.835799966766906,3.3920945830221427,190.5,44579.54079333356,3.196488882298243,0.9129172561542107,-0.20308536215145057,-0.9625875911603644,5.984936936936937,1.8606634444063774,0.051983962996371424,0.051983962996371424,3.6045151846281764,406085.87735594955,9.10924316691651,1,2.226358542654789,4.957349380285815,-0.3024050919488304,-1.1836229892586156,1.160454427005317
2003-10-01,3.7270764986827576,3.835799966766906,190.51666666666665,43841.68980292292,3.6139472748945245,1.1005081521527988,-0.20308536215145057,-0.9625875911603644,5.893768175151896,1.9585954802843228,0.054727921969369486,0.054727921969369486,3.520755107487794,421221.00865535287,9.60777311615553,1,0.8956303782628572,5.882735519793225,-0.7419061953078192,-2.1717652685922757,0.5051392504922922
2004-01-01,3.2586032329368964,3.7270764986827576,191.75,43358.48144332345,3.781438232724832,1.1757726082238373,-0.20308536215145057,-0.9625875911603644,5.57510597174087,1.579058902922735,0.0440936817261639,0.0440936817261639,3.4889635575115374,434946.93006120564,10.031415206036485,1,0.7523589554969681,5.714753687202334,-0.8288252264067888,-2.9471138762784865,0.4737174475028205
2004-07-01,6.453658291478281,4.5207885558619765,195.95,43734.555517465305,3.8896958943994364,1.2244197359673938,-0.032893463875233175,-0.5577248292090503,5.863891076115484,1.9706071734110877,0.055064477753598906,0.055064477753598906,3.835567063562134,483948.93454786873,11.065596273285657,1,2.7653137889392005,5.236128583352019,-1.497346869673056,-2.005861443674124,1.0521359713541083
2004-10-01,5.634328170082248,6.453658291478281,197.25,44421.11123096842,5.4872234236701285,1.9422915668210092,-0.032893463875233175,-0.5577248292090503,5.699490843612399,1.43355634795271,0.040016843766808696,0.040016843766808696,4.490031644739978,511216.2056959122,11.50840651054031,1,4.146982544450206,4.744623587720885,-1.568890135478296,-1.9783571505947959,1.884798265267178
2005-01-01,4.572401526512016,5.634328170082248,199.3,45296.47651208357,6.043993230780265,2.19248403829387,-0.032893463875233175,-0.5577248292090503,5.715792481529769,0.9159900734845696,0.025515147664850524,0.025515147664850524,4.96684456258985,534591.0632889289,11.802045202043873,1,5.122268290388433,3.2385600997909356,-1.1630266139059646,-1.9344216192560248,2.685903478892464
2005-04-01,5.455903312462218,4.572401526512016,201.7333333333333,46248.25163996994,5.103364848297132,1.7697992289783722,-0.0272124899164089,-0.54421058540051,5.679673192512452,1.178004204220712,0.03285652496432556,0.03285652496432556,5.295294135983631,563757.8348190367,12.189819394854926,1,5.025762594840393,3.01527032668598,-1.394256964256711,-2.2623882803097306,2.397661099809395
2005-07-01,5.80961498122341,5.455903312462218,204.2,47198.41768945148,5.014152419487117,1.7297103488612449,-0.0272124899164089,-0.54421058540051,5.720897422811943,1.318578808448212,0.036795286608436006,0.036795286608436006,5.5290728251336905,596509.9944485041,12.638347293193684,1,5.642933816935351,2.999781420762173,-1.126798407067983,-2.3375426204676173,2.1479696623759783
2005-10-01,4.222096412033149,5.80961498122341,204.7333333333333,48030.35048787444,5.6327591468428135,2.0076901243634113,-0.0272124899164089,-0.54421058540051,6.18439501478665,0.8679343732452575,0.024168674381688016,0.024168674381688016,5.368061997569973,621695.2215215334,12.94379939364557,1,5.932632366074663,1.668869073451527,-0.6307395364722455,-2.7075079637424087,1.7563661585125092
2006-01-01,2.7647274704225566,4.222096412033149,206.0,48644.65579012273,5.015855696628279,1.7304757407918208,-0.0272124899164089,-0.54421058540051,6.206882338183643,0.5289158481403645,0.014669709965860589,0.014669709965860589,5.015004058057698,638883.4000932437,13.133681176606633,1,4.7933011676091395,1.8544924007074757,-0.9127970931300456,-2.3960631307574287,2.4567320574616356
2006-04-01,2.097217107476368,2.7647274704225566,209.03333333333333,49061.12008252156,3.4934119412278526,1.0463438769985876,0.15626763245500386,-0.10773699377340626,6.5594802820004405,0.4445357188457211,0.012305462037742965,0.012305462037742965,4.563085544035333,652282.172056826,13.295297191741186,0,4.113913715313949,0.05158996968438804,-0.5534490615945161,-2.939025618297286,2.375551443490791
2006-07-01,0.4895907809567168,2.097217107476368,211.3,49486.0965192027,2.4309722889494623,0.5689214323908539,0.15626763245500386,-0.10773699377340626,6.528230166503428,-0.1279110708650094,-0.003733931926744538,-0.003733931926744538,3.7234139927888705,655475.6854370404,13.245653457081387,0,1.8849536727349614,-0.5192088060297182,-0.828722964630235,-2.554193899600563,2.7957044406671483
2006-10-01,-1.2786082525114262,0.4895907809567168,210.45016666666663,50133.52415502897,1.2934039442165424,0.05773883591481867,0.15626763245500386,-0.10773699377340626,6.216243351785522,-0.9059933078734156,-0.025535028134226034,-0.025535028134226034,2.3934079427221975,647094.7192298366,12.907425323398606,0,0.16579476085002018,-1.2930016988895727,-0.8835036047528555,-2.186567005352481,2.4823168775068774
2007-01-01,-1.056650847095686,-1.2786082525114262,212.778,51208.85910660483,-0.3945087357773547,-0.7007488544108826,0.15626763245500386,-0.10773699377340626,6.186597087378641,-1.1133024146122033,-0.03134362466262941,-0.03134362466262941,1.0182317765860538,640257.1873975832,12.502859828701082,0,0.2246985171246086,-3.153853268215134,-0.5540677619088145,-1.5849999528186551,3.2072796425264474
2007-04-01,-0.7906087542964957,-1.056650847095686,216.00683333333336,52668.8166693778,-1.167629549803556,-1.048161743432831,0.1630946185346982,-0.09149654714801912,6.33313929197895,-1.2583072042681558,-0.03540651572924669,-0.03540651572924669,0.06288719720649316,635195.2580240053,12.06017712551561,0,0.424387237075962,-3.33202679005122,-0.2638200803239671,-0.4322822026968303,3.6744244651529883
2007-07-01,-1.7867551756982405,-0.7906087542964957,217.8275,54170.54245254051,-0.9236298006960908,-0.9385169683599636,0.1630946185346982,-0.09149654714801912,6.5189412367881365,-1.604068605818432,-0.04509440888693328,-0.04509440888693328,-0.6590692682367227,623845.8738754716,11.516330566968769,0,-0.5735294632303256,-3.6254980620438246,-0.0233573721216524,-0.12154148555659991,3.630564122257233
2007-10-01,-2.373704672958965,-1.7867551756982405,218.728,55262.74595178171,-1.2886819649973682,-1.1025583765625937,0.1630946185346982,-0.09149654714801912,6.186666064254324,-1.530451900424324,-0.04303174147153843,-0.04303174147153843,-1.228155757400462,609037.6152152278,11.020762807310193,0,-2.6719140812978677,-2.8682872065291183,0.14216005395477144,-1.3583631559772802,2.628134266822178
2008-01-01,-3.0248917546621734,-2.373704672958965,221.5705,55529.10763037779,-2.080229924328603,-1.4582517667309414,0.1630946185346982,-0.09149654714801912,5.840510922181804,-1.2402515284383255,-0.034900613515914225,-0.034900613515914225,-1.5019298625123467,590614.8866097913,10.636131423921698,0,-5.812281475703321,-2.5374299258053457,2.3438545373875996,-2.8713648507949117,4.285274537254946
2008-04-01,-4.039397458397021,-3.0248917546621734,224.9286666666667,54934.44761109061,-2.6992982138105694,-1.7364389517722654,0.25382831595880395,0.12434624979616189,6.0498631893846975,-1.0655744165039533,-0.030006333269692487,-0.030006333269692487,-1.9939900894039684,566757.603891161,10.316980119715256,0,-5.877342843891288,-1.9131150651345268,2.6470318593952067,-2.6199224445626212,3.2003866288729976
2008-07-01,-4.661598243832932,-4.039397458397021,228.8945,53980.169637772255,-3.5321446065295974,-2.1106903833165984,0.25382831595880395,0.12434624979616189,6.262860409421828,-1.056845860559902,-0.029761767748417656,-0.029761767748417656,-2.8061872654290996,540337.6413813811,10.009928553527248,0,-6.394725241008166,-2.2094633231612546,2.212505050183409,-3.5447877728796247,2.434444173481887
2008-10-01,-4.296349363347495,-4.661598243832932,224.1628333333333,53252.678623265005,-4.3504978511149766,-2.478429111577323,0.25382831595880395,0.12434624979616189,5.832985882008704,-1.0613977430399242,-0.029889307002177845,-0.029889307002177845,-3.5248980324627723,517122.8485659652,9.710738725921006,0,-9.65915020674563,-1.865233211321356,3.075777647260339,-4.928774270685661,2.113117634062214
2009-01-01,-3.559675358116998,-4.296349363347495,222.23,53312.78523888485,-4.478973803590214,-2.5361616172989403,0.25382831595880395,0.12434624979616189,5.0570235207304215,-1.303902611408875,-0.03668405402843211,-0.03668405402843211,-4.005559205059905,498714.9539543698,9.354509461843332,0,-9.515999651294363,-1.0976892380307817,0.5470094121173069,-1.0320677535490248,1.9642247329139375
2009-04-01,-2.7707488071088027,-3.559675358116998,223.841,54262.56521109067,-3.9280123607322466,-2.288579217329431,0.5166863138447109,0.7496487236681061,5.034002273807301,-1.5909173387415592,-0.044725923365537046,-0.044725923365537046,-4.139255105923612,484896.8153168059,8.936120388530735,0,-7.53888779279863,-2.0235596335909025,0.28628845002690373,0.9427330616327148,2.5671147922158
2009-07-01,-1.4462908242649952,-2.7707488071088027,226.6325,55586.81076073167,-3.1652120826129004,-1.94580400864231,0.5166863138447109,0.7496487236681061,5.167215615345351,-1.3487764734045653,-0.03794137534491748,-0.03794137534491748,-3.822092943101557,477883.79716972576,8.597071690742121,0,-4.406400471231364,-0.9593287098040086,-2.1368672134545172,3.8924997091040603,1.7318339387826487
2009-10-01,-0.94023591221164,-1.4462908242649952,226.79216666666665,56642.28861183379,-2.1085198156868987,-1.4709642337976596,0.5166863138447109,0.7496487236681061,4.907270431390276,-0.9890163132522773,-0.027861250789890213,-0.027861250789890213,-3.0182660882095727,473390.56209009537,8.35754652030769,0,-4.2399597825325674,0.2769917256457017,-2.7631283751908144,3.186375536045202,0.8630429551758303
2010-01-01,0.8507901865896228,-0.94023591221164,227.96,56820.72525581703,-1.1932633682383176,-1.059680666164593,0.5166863138447109,0.7496487236681061,4.970049235776748,0.19596799429415712,0.005340839766119432,0.005340839766119432,-2.179237725425609,477418.12253659935,8.402182837110542,0,-3.025471895977995,0.8833187486124797,-3.0359069920389294,1.9595462884799681,0.3962744964538915
2010-04-01,1.1151228619140197,0.8507901865896228,228.57066666666665,56069.12518830504,-0.044722862811008623,-0.5435675724409158,0.551054661380418,0.8314062235722801,4.886537085103563,0.8870970123887223,0.024705592614344463,0.024705592614344463,-1.0766213392489536,482741.92116792564,8.609763743355433,0,-1.9173081239742145,2.6827237152911385,-3.1706927541564704,0.39446626646617394,-1.1504982424813441
2010-07-01,-0.1819001160805133,1.1151228619140197,229.522,55100.24942176289,0.9829565242518212,-0.08176514988228177,0.551054661380418,0.8314062235722801,4.433083617383503,0.5668606680586882,0.015732886363249543,0.015732886363249543,-0.10515342199324795,481863.81305295194,8.74522017794407,0,-2.3852225317118,2.9919626102949954,-3.1048421540251874,-0.1008549532469932,-1.1532314582539325
2010-10-01,-1.134582199191514,-0.1819001160805133,230.91766666666663,54767.86647508096,0.4666113729167532,-0.31379222443949556,0.551054661380418,0.8314062235722801,4.394809336448276,-0.18543651843190143,-0.005345738182091164,-0.005345738182091164,0.21094425505287254,476396.6720057077,8.69847052052804,0,-3.1359225830094566,1.7986382192539687,-2.6198067665378777,0.40977327260089236,-0.7038376462149767
2011-01-01,-0.4392365242265938,-1.134582199191514,233.976,55879.853360022935,-0.6582411576360137,-0.8192607880497134,0.551054661380418,0.8314062235722801,4.821442738492133,-0.8585088926349782,-0.024204561692851678,-0.024204561692851678,0.16235768330790407,474304.16382205865,8.487927854180468,0,-2.5374270985108267,-0.7172521802599673,-2.6021175002527843,2.404469352708313,1.332790127327696
2011-04-01,-0.0058545358804895,-0.4392365242265938,237.1275,58491.43172944897,-0.7869093617090539,-0.8770796847749096,0.6198763551534647,0.9951234234233665,4.625063729379098,-1.5901647372895036,-0.04470483621577093,-0.04470483621577093,-0.1601489943961501,474276.39551460504,8.10847642964805,0,-3.000618151428102,-0.8052044209039365,-2.738107781380261,4.158056465494862,2.2604493270188457
2011-07-01,-0.7342724927607569,-0.0058545358804895,238.458,61688.02183932505,-0.22254553005354166,-0.6234747298211379,0.6198763551534647,0.9951234234233665,4.268066912975662,-2.092539687048315,-0.05878088639528711,-0.05878088639528711,-0.44039334384477735,470793.9144026841,7.6318529977980445,0,-3.52605569570998,-1.1346637050764155,-2.8718106493579767,4.340295838006305,1.7237284706874823
2011-10-01,-0.7559611999165661,-0.7342724927607569,238.40316666666664,64302.84973975597,-0.37006351432062323,-0.6897640447213887,0.6198763551534647,0.9951234234233665,3.973583684228001,-1.704788022293967,-0.04791646751275025,-0.04791646751275025,-0.5784864380148382,467234.8950782314,7.266161561566969,0,-3.0920231119640027,-1.0594728482978446,-3.0042933935186467,4.222929728510704,0.9039303744965198
2012-01-01,0.2307421565466816,-0.7559611999165661,240.6145,65234.582243198645,-0.7451168463386615,-0.8582996205974754,0.6198763551534647,0.9951234234233665,3.891294098540021,-0.4232249413433581,-0.01200833506240262,-0.01200833506240262,-0.48383118819610127,468313.0029512736,7.1789070589181225,0,-1.8763798735946575,-1.0506367064748472,-3.360330406166624,1.983213741998321,-1.0016226298245676
2012-04-01,1.395073499166788,0.2307421565466816,242.2938333333333,64240.82878633269,-0.2626095216849423,-0.641478057148378,0.6225717003337128,1.0015352732537053,3.7725461794463593,1.0630538503186717,0.02963572951969784,0.02963572951969784,-0.31633651800278245,474846.31354859896,7.39165920676327,0,-1.7395925877037666,1.6072829184332984,-2.912359601878886,-0.47968241101460624,-3.1393715213741977
