Date,House_Index,House_Index_diff1,House_Index_pct_change,Interest_Rate_diff1,log_Median_Household_Income_diff1,CPI_diff1,log_GDP_diff1,Population_diff1,Poverty_Rate_diff1,log_House_Index_diff1,Mortgage_Rate_diff1,CPI_diff1_lag6,log_Median_Household_Income_diff1_lag8,Interest_Rate_diff1_lag8,recession_period,price_to_income,price_momentum,PC1,PC2,PC3,PC4,PC5
1986-04-01,67.53,0.026864375350677427,2.722847581381216,-1.1500000000000004,0.022710244577210048,-0.6500000000000057,0.008272450164501066,0.0,0.0,0.026864375350677427,-0.9484999999999992,1.9499999999999886,-0.0002796290273145985,0.7299999999999986,0,0.0010850371560554327,4.1647385469689935,-0.90852326991348,-0.1392602165103452,-2.338295094659996,1.4512432157141197,0.5628520231348398
1986-07-01,69.51,0.028898683525643953,2.932030208796088,-0.4300000000000006,0.022205921475709545,-0.04999999999999716,0.013619556904105323,0.0,0.0,0.028898683525643953,0.5700000000000003,0.25,-0.00027970724157988514,0.9400000000000013,0,0.0010923234069301485,5.734712503802886,0.20663822131789608,-0.06507960441056136,-1.7481415060358738,1.0983944937307888,0.3386241158958778
1986-10-01,71.18,0.02374125296965257,2.4025320097827763,-0.71,0.02172351149327767,1.3499999999999943,0.0107840017530485,0.0,0.0,0.02374125296965257,-0.5335000000000001,1.6000000000000085,-0.0002797854996110516,-1.2400000000000002,0,0.0010945296582477993,5.405005182881695,-0.039368178996141694,0.32843681295449717,-1.3101034469973796,1.6889252543469764,0.37581731327000795
1987-01-01,73.26,0.028802877268621074,2.9221691486372547,0.5800000000000001,0.02126161673986182,0.8500000000000085,0.013759383997005159,0.0,0.0,0.028802877268621074,-0.7699999999999996,1.2999999999999972,-0.000279863801443625,-1.6400000000000006,0,0.0011028149932259521,5.394907207596034,1.4158095496193632,-0.12023889826899097,-0.966874428889083,0.7351825586773842,0.07254639279939806
1987-04-01,75.83,0.03447923536217612,3.508053508053499,-0.05999999999999961,-0.015282525683804948,1.2000000000000028,0.017632953512395133,0.0,0.0,0.03447923536217612,0.628499999999999,0.6500000000000057,0.03326223558210728,-0.08000000000000007,0,0.0011590813558026672,6.532733914020783,0.6452516842911453,1.5361117090768825,-1.3758419484519337,-0.505738315758818,-0.1918518433821904
1987-07-01,79.75,0.05040274895210928,5.169457998153759,0.20999999999999996,-0.015519710749856586,1.2999999999999972,0.016179757677168283,0.0,0.0,0.05040274895210928,0.4455000000000009,2.049999999999997,0.03219138268081245,-0.3899999999999997,0,0.0012380656679344872,8.858858858858842,1.1943875315483419,1.6646931345996228,-1.5823481050378803,-0.7568584747834092,0.37927693924004524
1987-10-01,82.41,0.0328100471103383,3.33542319749216,0.71,-0.015764374266822756,1.9500000000000028,0.024957249558040573,0.0,0.0,0.0328100471103383,0.9819999999999993,-0.6500000000000057,0.031187335239303948,0.11000000000000032,0,0.0012996885226511058,8.677304496900963,1.8501346184617675,1.6249358274159367,-0.5954289881849281,-0.8406039527235898,-0.6078156755742706
1988-01-01,85.65,0.03856243599483733,3.9315617036767447,-0.45999999999999996,-0.016016875601284397,0.14999999999999147,0.012970249572964221,0.0,0.0,0.03856243599483733,-0.8774999999999995,-0.04999999999999716,0.03024403038210899,0.15000000000000036,0,0.001372596153846154,7.398119122257052,-0.0916472380844545,1.3565705347471433,-2.1090273392031578,-0.5662990717128793,0.10520933247757376
1988-04-01,89.25,0.04117219588961962,4.203152364273199,0.040000000000000036,-0.010471299867294448,1.3500000000000085,0.022734948282947087,0.0,0.0,0.04117219588961962,-0.18050000000000033,1.3499999999999943,0.022710244577210048,-1.1500000000000004,0,0.001445344129554656,8.299963596650905,1.1800610927590218,1.57921977005322,-1.3033290843948213,-0.44020696473791554,0.016440576847143392
1988-07-01,91.97,0.030021016254857535,3.0476190476190546,0.8799999999999999,-0.010582109330536937,1.0499999999999972,0.01772225187011678,0.0,0.0,0.030021016254857535,0.23000000000000043,0.8500000000000085,0.022205921475709545,-0.4300000000000006,0,0.0015052373158756136,7.378867483946294,1.561734388122703,0.9584479694507001,-0.8848809381630689,-0.8260227619358465,-0.5828670996802595
1988-10-01,94.4,0.02607863623684903,2.6421659236707695,0.5500000000000007,-0.010695289116748441,2.299999999999997,0.021845138070249348,0.0,0.0,0.02607863623684903,-0.12950000000000017,1.2000000000000028,0.02172351149327767,-0.71,0,0.0015616211745244004,5.770308123249301,1.5523280920588354,1.4664091600949627,-0.4255827684928913,-0.33763744136479146,-0.6415434524748591
1989-01-01,96.6,0.023037668067017236,2.330508474576254,0.8199999999999985,-0.010810916104215806,1.2999999999999972,0.020483978520692503,0.0,0.0,0.023037668067017236,0.4275000000000002,1.2999999999999972,0.02126161673986182,0.5800000000000001,0,0.0016153846153846153,5.034250299010545,1.52170489473666,1.0195567753488395,-0.6260242723993312,-0.7137259408265911,-0.8831288509895567
1989-04-01,99.1,0.025550700117469738,2.5879917184264967,0.7200000000000006,-0.00591209084867117,2.299999999999997,0.018197658588041676,0.0,0.0,0.025550700117469738,0.3200000000000003,1.9500000000000028,-0.015282525683804948,-0.05999999999999961,0,0.0016670171159426383,4.978813559322015,1.6251196377903991,1.1745062816770186,-0.37616113622840414,-0.16963526736179246,-0.5520638065492891
1989-07-01,100.94,0.018396839576173996,1.8567103935418716,-0.5999999999999996,-0.005947251643711127,1.2000000000000028,0.014663025534526142,0.0,0.0,0.018396839576173996,-1.1675000000000004,0.14999999999999147,-0.015519710749856586,0.20999999999999996,0,0.0017080971317370336,4.492753623188417,-0.2386853144191046,1.1464968710871386,-1.2806834026698801,0.3790932137387028,-0.4287291756857308
1989-10-01,101.85,0.008974861760698616,0.9015256588072118,-0.40000000000000036,-0.005982833163580281,2.500000000000014,0.009066531429009927,0.0,0.0,0.008974861760698616,0.0649999999999995,1.3500000000000085,-0.015764374266822756,0.71,0,0.001733838362344129,2.7749747729566066,-0.20077117316072765,1.2197838856149286,-0.6178377593430622,0.7707035426673581,-0.6408977587618817
1990-01-01,102.11,0.002549520894631563,0.25527736867942963,-0.6099999999999994,-0.006018843005177743,1.6999999999999886,0.021595446713407185,0.0,0.0,0.002549520894631563,-0.05250000000000021,1.0499999999999972,-0.016016875601284397,-0.45999999999999996,0,0.0017487583490323685,1.1591044184664279,-0.1789382996122688,1.220703558085847,-0.6466840625795339,0.5562915793059259,-1.1602197444156634
1990-04-01,102.41,0.002933700519899496,0.2938008030555217,0.02999999999999936,0.013100995547153715,1.9000000000000057,0.01476051475683171,17.440878048779723,0.1750000000000007,0.002933700519899496,0.47499999999999964,2.299999999999997,-0.010471299867294448,0.040000000000000036,0,0.0017310682893847194,0.5498281786941561,-0.43584883590012696,0.4564537114901951,1.0250802490848334,0.6131811660634083,0.14622570884785743
1990-07-01,101.87,-0.005286873485371046,-0.5272922566155525,-0.10999999999999943,0.012931576627494223,1.799999999999983,0.009200455308418398,17.440878048780178,0.17499999999999893,-0.005286873485371046,-0.3349999999999991,1.2999999999999972,-0.010582109330536937,0.8799999999999999,1,0.0016998164525279494,-0.23504064244441736,-0.9945442601093298,0.26202568553298333,1.001715547446553,0.804236074997573,-0.01715698397435986
1990-10-01,100.53,-0.013241300184645866,-1.3154019829194064,-0.040000000000000924,0.01276648359535848,2.5,-0.0017276427653207804,17.440878048781087,0.1750000000000007,-0.013241300184645866,0.14250000000000007,2.299999999999997,-0.010695289116748441,0.5500000000000007,1,0.001656177924217463,-1.835758226735662,-1.3999369306754266,0.12547107344360264,1.2632299190011016,1.1632146292481216,-0.05914822497293255
1991-01-01,101.07,0.0053571556692419975,0.5371530886302489,-1.1999999999999993,0.012605552853464985,0.9000000000000057,0.005057357133386731,17.440878048780178,0.17499999999999893,0.0053571556692419975,-0.5400000000000009,1.2000000000000028,-0.010810916104215806,0.8199999999999985,1,0.001644216691068814,-0.7853146166683089,-2.2600387234386887,0.44881389538120764,-0.11637442747245574,1.1205480966591943,0.7495580164832027
