Date,Target_House_Index_diff1,Recession,Hot_Market,GDP_diff3_L1
1991-01-01,0.539999999999992,1,0,132.03200000000015
1991-04-01,0.15000000000000568,0,0,75.14999999999964
1991-07-01,-0.8100000000000023,0,0,111.7460000000001
1991-10-01,1.6000000000000085,0,0,201.20399999999972
1992-01-01,0.30999999999998806,0,0,229.36200000000008
1992-04-01,-0.8199999999999932,0,0,236.23999999999978
1992-07-01,0.8199999999999932,0,0,264.826
1992-10-01,0.11000000000001364,0,0,302.10099999999966
1993-01-01,-0.23000000000000398,0,0,317.701
1993-04-01,0.20000000000000284,0,0,258.6959999999999
1993-07-01,0.01999999999999602,0,0,242.29800000000068
1993-10-01,0.539999999999992,0,1,201.29500000000007
1994-01-01,0.19000000000001194,0,0,284.27900000000045
1994-04-01,-0.9200000000000017,0,1,306.71299999999974
1994-07-01,-1.0700000000000074,0,0,364.83299999999963
1994-10-01,-0.8799999999999955,0,0,317.33699999999953
1995-01-01,-0.28000000000000114,0,0,339.6359999999995
1995-04-01,0.8900000000000006,0,0,275.3580000000002
1995-07-01,1.25,0,0,249.92200000000048
1995-10-01,0.730000000000004,0,0,227.83700000000044
1996-01-01,1.1700000000000017,0,0,250.29700000000048
1996-04-01,-1.3500000000000085,0,1,287.47099999999955
1996-07-01,-1.009999999999991,0,0,349.71500000000015
1996-10-01,0.6899999999999977,0,0,358.8220000000001
1997-01-01,0.4200000000000017,0,0,391.3030000000008
1997-04-01,-0.4200000000000017,0,1,329.8150000000005
1997-07-01,0.9599999999999937,0,0,387.41700000000037
1997-10-01,0.7800000000000011,0,0,403.0519999999997
1998-01-01,1.480000000000004,0,0,403.2519999999986
1998-04-01,0.14000000000000057,0,0,347.65499999999884
1998-07-01,0.5499999999999972,0,0,306.8760000000002
1998-10-01,1.1799999999999926,0,1,355.1900000000005
1999-01-01,1.230000000000004,0,0,427.5110000000004
1999-04-01,0.8299999999999983,0,0,441.9830000000002
1999-07-01,1.9300000000000068,0,0,405.1129999999994
1999-10-01,1.6499999999999915,0,1,392.6350000000002
2000-01-01,2.5900000000000034,0,0,488.48699999999917
2000-04-01,3.6899999999999977,0,1,475.96900000000096
2000-07-01,2.930000000000007,0,0,561.0939999999991
2000-10-01,2.789999999999992,0,0,417.996000000001
2001-01-01,4.099999999999994,1,0,433.5650000000005
2001-04-01,3.8500000000000227,1,0,222.51100000000042
