Date,ZHVI_pct_change,Unemployment_Rate,Median_Household_Income,CPI,GDP_Growth,Poverty_Rate_lag5,CPI_pct_change,Unemployment_Rate_pct_change,Median_Household_Income_pct_change,Population_pct_change,Poverty_Rate_pct_change,Income_yoy_pct,Interest_Rate_diff1,Mortgage_Rate_diff1,real_mortgage_rate,Income_CPI_interaction,hot_market,rising_rates,accelerating_prices,accelerating_inflation,recession_period,pandemic_period,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,ma_2,ma_4,ma_8,std_2,std_4,std_8,momentum_2,momentum_4,momentum_8,trend_strength_2,trend_strength_4,trend_strength_8
2003-07-01,3.835799966766906,7.366666666666667,44579.54079333356,190.5,6.6484025309919055,17.5,0.8114305874051819,0.454545454545463,-1.2952634078081893,0.0,0.0,4.432936232079232,-0.2300000000000002,0.5058333333333342,5.984936936936937,-1.0510163478422367,1,0,1,1,0,0,3.3920945830221427,3.000883181574343,3.854242698587784,4.170840275328436,3.0993846210591425,2.769883566884768,3.261312294157137,3.41683632814751,3.196488882298243,3.6045151846281764,3.370684693595158,0.27662823484123383,0.5139980696080992,0.4566878989254713,-0.46214811556564106,0.29270996196300025,0.6914811843685253,1.2000041633209138,1.0641652955507213,1.137988366000398
2003-10-01,3.7270764986827576,7.3,43841.68980292292,190.51666666666665,3.632645364144345,17.5,0.0087489063866907,-0.9049773755656187,-1.6551336718142684,0.0,0.0,-1.0417324281279503,-0.0199999999999997,-0.0945,5.893768175151896,-0.0144806095521628,1,0,0,0,0,0,3.835799966766906,3.3920945830221427,3.000883181574343,3.854242698587784,4.170840275328436,3.0993846210591425,2.769883566884768,3.261312294157137,3.6139472748945245,3.520755107487794,3.4230551484225824,0.31374708569490284,0.4071394464982107,0.48582886270047454,0.8349167851925627,-0.3350403085615299,0.4189636386193958,1.0313035069919594,1.0586014604526648,1.0888157908879368
2004-01-01,3.2586032329368964,7.6,43358.48144332345,191.75,2.320480717670294,17.5,0.6473624354824681,4.109589041095885,-1.102166366697055,-0.1315738555009327,13.7142857142857,-4.044509309825672,0.0066666666666663,-0.3226666666666666,5.57510597174087,-0.7135011034518685,1,0,0,1,0,0,3.7270764986827576,3.835799966766906,3.3920945830221427,3.000883181574343,3.854242698587784,4.170840275328436,3.0993846210591425,2.769883566884768,3.781438232724832,3.4889635575115374,3.4812756739882853,0.07687910155642584,0.3762088600462904,0.4915513315094176,0.33498191566061486,-0.1271661999050262,0.4657642045256205,0.8617364696682641,0.9339745684420554,0.9360371134308112
2004-04-01,4.5207885558619765,8.066666666666666,43345.41124972695,194.1,3.45307643082959,17.5,1.2255541069100315,6.140350877192979,-0.0301444911385617,0.0,0.0,-4.0277821676368735,0.0066666666666668,0.5316666666666663,6.102001381783971,-0.0369437049155774,1,1,1,1,0,0,3.2586032329368964,3.7270764986827576,3.835799966766906,3.3920945830221427,3.000883181574343,3.854242698587784,4.170840275328436,3.0993846210591425,3.492839865809827,3.5533935703521755,3.542365632244801,0.33126062301350784,0.27254225279550703,0.41490229530011186,-0.5771967338300095,0.25772005136255327,0.48871966605212824,1.2943016941928474,1.2722453807485004,1.2762060795506158
2004-07-01,6.453658291478281,8.366666666666667,43734.555517465305,195.95,3.842246871242885,17.5,0.9531169500257564,3.7190082644628086,0.8977750043628996,0.0,0.0,-1.8954553161180443,0.4233333333333331,-0.2366666666666672,5.863891076115484,0.855684573967727,1,1,1,0,0,0,4.5207885558619765,3.2586032329368964,3.7270764986827576,3.835799966766906,3.3920945830221427,3.000883181574343,3.854242698587784,4.170840275328436,3.8896958943994364,3.835567063562134,3.720041124095155,0.8924998009544568,0.520956176106693,0.4947637243417304,0.7937120571792189,1.1286939728398337,1.421403934802834,1.6591678287165217,1.6825825711113227,1.734835201061934
2004-10-01,5.634328170082248,8.299999999999999,44421.11123096842,197.25,4.45954366075684,17.5,0.6634345496300043,-0.7968127490040056,1.5698243765823516,0.0,0.0,1.3216220238090992,0.5166666666666668,-0.1576666666666666,5.699490843612399,1.041475728276115,1,1,0,0,0,0,6.453658291478281,4.5207885558619765,3.2586032329368964,3.7270764986827576,3.835799966766906,3.3920945830221427,3.000883181574343,3.854242698587784,5.4872234236701285,4.490031644739978,4.0053933761138865,1.3667452972045375,1.4089348321401693,1.0909742488563217,3.195055058541385,2.6178583247113756,2.2828180161498457,1.0268085942660101,1.2548526638298418,1.4066853467333555
2005-01-01,4.572401526512016,7.899999999999999,45296.47651208357,199.3,3.703069780658831,17.5,1.0392902408111526,-4.81927710843374,1.9706064455787156,-0.1088499596656356,-5.025125628140703,4.469702360986494,0.5200000000000002,0.0203333333333342,5.715792481529769,2.0480320473695124,1,1,0,1,0,0,5.634328170082248,6.453658291478281,4.5207885558619765,3.2586032329368964,3.7270764986827576,3.835799966766906,3.3920945830221427,3.000883181574343,6.043993230780265,4.96684456258985,4.227904060050694,0.5793538848695293,1.3872279111180332,1.228591974673752,1.1135396142202714,1.9072516713994903,1.780085471494464,0.7565199615423346,0.9205847835366605,1.0814818552096455
2005-04-01,5.455903312462218,7.233333333333333,46248.25163996994,201.7333333333333,2.240804762461953,19.9,1.220939956514444,-8.43881856540083,2.101212282223464,0.0,0.0,6.696995844655351,0.4733333333333331,-0.0361666666666664,5.679673192512452,2.5654540324855315,1,1,1,1,0,0,4.572401526512016,5.634328170082248,6.453658291478281,4.5207885558619765,3.2586032329368964,3.7270764986827576,3.835799966766906,3.3920945830221427,5.103364848297132,5.295294135983631,4.424343853167903,0.7508955307911781,0.9272152233939167,1.125703412554072,-1.881256764966265,1.31379829357512,1.5715183449376733,1.0690796121078272,1.0303305486634224,1.233155354450062
2005-07-01,5.80961498122341,6.566666666666666,47198.41768945148,204.2,2.769544343635219,19.9,1.2227362855254498,-9.216589861751157,2.054490744597937,0.0,0.0,7.920195211776848,0.5166666666666662,0.0440000000000004,5.720897422811943,2.5121003816960963,1,1,1,1,0,0,5.455903312462218,4.572401526512016,5.634328170082248,6.453658291478281,4.5207885558619765,3.2586032329368964,3.7270764986827576,3.835799966766906,5.014152419487117,5.5290728251336905,4.682319944347912,0.6247301040358103,0.7716887808365411,1.0913046101295572,-0.1784248576200298,0.9351147566002416,2.0638087294400753,1.1586434745471217,1.0507394575840003,1.2407556617817777
2005-10-01,4.222096412033149,6.266666666666667,48030.35048787444,204.7333333333333,3.3331525251349383,19.9,0.261181847861569,-4.5685279187817285,1.7626285777137207,0.0,0.0,8.125053959455709,0.5200000000000005,0.4593333333333333,6.18439501478665,0.4603665890208788,1,1,0,0,0,0,5.80961498122341,5.455903312462218,4.572401526512016,5.634328170082248,6.453658291478281,4.5207885558619765,3.2586032329368964,3.7270764986827576,5.6327591468428135,5.368061997569973,4.929046821154976,0.25011191956584167,0.549744908663334,1.095694501116517,1.2372134547113935,-0.6440433102548715,1.973815014456504,0.7495609703815673,0.7865215442639107,0.8565746208602307
