Date,ZHVI_pct_change,Unemployment_Rate,Median_Household_Income,CPI,GDP_Growth,Poverty_Rate_lag5,CPI_pct_change,Unemployment_Rate_pct_change,Median_Household_Income_pct_change,Population_pct_change,Poverty_Rate_pct_change,CPI_yoy_pct,Income_yoy_pct,Interest_Rate_diff1,Mortgage_Rate_diff1,real_interest_rate,real_mortgage_rate,Income_CPI_interaction,hot_market,rising_rates,accelerating_prices,accelerating_inflation,ZHVI_pct_change_is_imputed,Poverty_Rate_lag5_is_imputed,CPI_pct_change_is_imputed,Unemployment_Rate_pct_change_is_imputed,Median_Household_Income_pct_change_is_imputed,Population_pct_change_is_imputed,Poverty_Rate_pct_change_is_imputed,CPI_yoy_pct_is_imputed,Income_yoy_pct_is_imputed,Interest_Rate_diff1_is_imputed,Mortgage_Rate_diff1_is_imputed,real_interest_rate_is_imputed,real_mortgage_rate_is_imputed,Income_CPI_interaction_is_imputed
2000-01-01,1.0160951518421557,5.7,41716.55853873175,171.5,6.89244083540085,17.5,0.8746355685131268,-1.7543859649123084,2.0717115860628965,0.0,0.0,2.9446064139941663,-2.165337397145395,0.5966666666666667,0.06016666666666737,5.563887269193392,6.982053935860059,1.8119926408713531,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000-04-01,1.0160951518421557,5.599999999999999,42580.80531528536,173.0,4.859769874218148,17.5,0.8746355685131268,-1.7543859649123084,2.0717115860628965,0.0,0.0,2.9446064139941663,-2.165337397145395,0.5966666666666667,0.06016666666666737,5.563887269193392,6.982053935860059,1.8119926408713531,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
2000-07-01,2.2022769564930655,5.666666666666667,42521.31462869351,174.9,0.687335890554935,17.5,1.098265895953765,1.1904761904762085,-0.1397124506015368,0.0,0.0,2.9446064139941663,-2.165337397145395,0.24666666666666615,-0.28949999999999854,5.563887269193392,6.982053935860059,-0.15344141973579295,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
2000-10-01,2.5739701026122885,5.8,41830.80863997166,175.35,1.3237094853757143,17.5,0.2572898799313883,2.35294117647058,-1.623905551254734,0.0,0.0,2.9446064139941663,-2.165337397145395,-0.04666666666666597,-0.38833333333333453,5.563887269193392,6.982053935860059,-0.41781446430224545,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
2001-01-01,2.4001148018699903,6.0,40813.25429589054,176.54999999999998,-0.3834282191640781,17.5,0.6843455945252375,3.4482758620689724,-2.432547629760118,0.4296857245746022,3.4285714285714475,2.9446064139941663,-2.165337397145395,-0.8799999999999999,-0.6291666666666664,5.563887269193392,6.982053935860059,-1.664703253899145,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001-04-01,2.7006133986536174,6.2,39777.32489960827,178.0666666666667,1.6467258201229908,17.5,0.8590578684036787,3.3333333333333437,-2.538218071933007,0.0,0.0,2.9287090558766993,-6.583906515903115,-1.2666666666666666,0.11599999999999966,4.2973795761079,7.098212909441234,-2.180476206418464,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-07-01,3.41683632814751,6.6000000000000005,38995.04483366108,180.04999999999998,-1.5352523975531147,17.5,1.1138150505428435,6.451612903225823,-1.966648254807335,0.0,0.0,2.9445397369925574,-8.292946316040972,-0.8300000000000005,-0.16250000000000053,3.467221269296741,6.9355546026300745,-2.1904824253282267,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-10-01,3.261312294157137,7.066666666666666,38782.42411940029,179.8166666666667,2.287223708397974,17.5,-0.1295936313986612,7.07070707070705,-0.5452505957301845,0.0,0.0,2.547286379621716,-7.287414754058741,-1.3633333333333333,-0.18483333333333363,2.1078604695371164,6.754693802870449,0.07066100472295797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-01,2.7698835668847677,7.166666666666667,39422.20789310916,180.95,3.293832723323349,17.5,0.6302715728982999,1.4150943396226578,1.6496745323065776,-0.23428905629899743,-3.314917127071826,2.492211838006231,-3.4083202302283566,-0.3999999999999999,0.18783333333333374,1.708411214953271,6.943077881619938,1.039742962247134,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-04-01,3.0993846210591425,7.033333333333334,40871.916128998106,183.41666666666663,2.195746473374252,18.1,1.3631758312609321,-1.8604651162790642,3.6773897591422022,0.0,0.0,3.0044926993634924,2.751796990251143,0.016666666666666607,-0.15433333333333277,1.719955073006365,6.783621739673032,5.01292884178911,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-07-01,4.170840275328436,6.833333333333333,42687.24255178015,185.0,1.0931342484913025,18.1,0.8632439800090985,-2.8436018957346154,4.441500655493114,0.0,0.0,2.7492363232435535,9.46837664597815,-0.010000000000000009,-0.5245000000000006,1.7125076367675645,6.261674303434231,3.8340987030608953,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-10-01,3.8542426985877842,6.9,44303.2107156497,185.61666666666667,0.8352610933280993,18.1,0.33333333333334103,0.9756097560975618,3.7855997887644266,0.0,0.0,3.2255074613031676,14.235279824831082,-0.29666666666666663,-0.21316666666666606,1.4110782587203017,6.043744925386969,1.261866596254838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-01-01,3.000883181574343,7.1000000000000005,45186.03482871177,187.55000000000004,2.4816332311052536,18.1,1.0415731345964074,2.898550724637694,1.9926865317466014,-0.8123414486058023,0.0,3.647416413373894,14.62076135164947,-0.19333333333333336,-0.24150000000000116,1.213525835866261,5.798025835866261,2.075528757139351,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-04-01,3.3920945830221427,7.333333333333333,45164.540560518646,188.96666666666667,4.804292025404748,17.5,0.7553541277881326,3.2863849765258024,-0.04756838761046378,0.0,0.0,3.025897319400306,10.502625856767644,-0.0033333333333331883,-0.32566666666666677,1.2164076934726638,5.47857436013933,-0.03593097793378968,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-07-01,3.8357999667669063,7.366666666666667,44579.54079333356,190.5,6.6484025309919055,17.5,0.8114305874051819,0.454545454545463,-1.2952634078081893,0.0,0.0,2.972972972972965,4.432936232079232,-0.2300000000000002,0.5058333333333342,0.986936936936937,5.984936936936937,-1.0510163478422367,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-10-01,3.7270764986827576,7.3,43841.68980292292,190.51666666666665,3.632645364144345,17.5,0.008748906386690791,-0.9049773755656187,-1.6551336718142684,0.0,0.0,2.639849151477036,-1.0417324281279505,-0.019999999999999796,-0.09450000000000003,0.9702681751518965,5.893768175151896,-0.014480609552162833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-01,3.2586032329368964,7.6,43358.48144332345,191.75,2.320480717670294,17.5,0.6473624354824681,4.109589041095885,-1.102166366697055,-0.1315738555009327,13.714285714285701,2.2394028259130616,-4.044509309825672,0.0066666666666663765,-0.32266666666666666,0.9809393050742026,5.57510597174087,-0.7135011034518685,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-04-01,4.5207885558619765,8.066666666666666,43345.41124972695,194.1,3.45307643082959,17.5,1.2255541069100317,6.140350877192979,-0.03014449113856177,0.0,0.0,2.7165284882695317,-4.0277821676368735,0.006666666666666821,0.5316666666666663,0.9828347151173047,6.102001381783971,-0.036943704915577434,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-07-01,6.453658291478281,8.366666666666667,43734.555517465305,195.95,3.842246871242885,17.5,0.9531169500257564,3.7190082644628086,0.8977750043628996,0.0,0.0,2.8608923884514414,-1.8954553161180443,0.4233333333333331,-0.23666666666666725,1.4047244094488187,5.863891076115484,0.855684573967727,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-10-01,5.634328170082248,8.299999999999999,44421.11123096842,197.25,4.45954366075684,17.5,0.6634345496300043,-0.7968127490040056,1.5698243765823516,0.0,0.0,3.5342489720934456,1.3216220238090992,0.5166666666666668,-0.15766666666666662,1.9146575102790655,5.6994908436123985,1.0414757282761147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01-01,4.5724015265120155,7.899999999999999,45296.47651208357,199.3,3.703069780658831,17.5,1.0392902408111526,-4.81927710843374,1.9706064455787153,-0.1088499596656356,-5.025125628140703,3.9374185136897166,4.469702360986494,0.5200000000000002,0.020333333333334203,2.4306258148631033,5.715792481529769,2.0480320473695124,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,5.455903312462218,7.233333333333333,46248.25163996994,201.73333333333332,2.240804762461953,19.9,1.220939956514444,-8.43881856540083,2.1012122822234636,0.0,0.0,3.9326807487549242,6.696995844655351,0.47333333333333316,-0.03616666666666646,2.904006525845784,5.6796731925124515,2.5654540324855315,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07-01,5.80961498122341,6.566666666666666,47198.41768945148,204.2,2.769544343635219,19.9,1.2227362855254498,-9.216589861751157,2.0544907445979366,0.0,0.0,4.21025771880581,7.920195211776848,0.5166666666666662,0.04400000000000048,3.4178974228119414,5.720897422811943,2.5121003816960963,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-10-01,4.2220964120331494,6.266666666666667,48030.35048787444,204.73333333333332,3.3331525251349383,19.9,0.26118184786156906,-4.5685279187817285,1.7626285777137207,0.0,0.0,3.7938318546683503,8.125053959455709,0.5200000000000005,0.45933333333333337,3.9420616814533167,6.18439501478665,0.46036658902087885,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,2.7647274704225566,6.233333333333333,48644.65579012273,206.0,4.674884633576658,19.9,0.6186909801367602,-0.5319148936170248,1.2789940027678304,0.6250705298200154,3.70370370370372,3.361766181635728,7.391699169241073,0.476666666666667,0.018166666666665776,4.423049004850309,6.206882338183643,0.7913020531614671,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
