Date,Year,Quarter,Unemployment_Rate,CPI,Interest_Rate,Mortgage_Rate,ZHVI,GDP_Growth,Median_Household_Income,Population,Poverty_Rate,Marriage_Rate,Divorce_Rate,YearQuarter,QuarterLabel,CPI_diff1,ZHVI_diff1,Unemployment_Rate_diff1,Interest_Rate_diff1,Mortgage_Rate_diff1,Median_Household_Income_diff1,Population_diff1,Poverty_Rate_diff1,CPI_lag4,Interest_Rate_lag2,Mortgage_Rate_lag5,Poverty_Rate_lag5,Median_Household_Income_lag6,Population_lag3,ZHVI_pct_change,price_to_income,CPI_yoy_pct,real_interest_rate,real_mortgage_rate,Income_CPI_interaction,Unemployment_ZHVI_interaction,price_momentum,hot_market,rising_rates
2001-04-01,2001,2,6.2,178.0666666666667,4.326666666666667,7.1275,199780.99166666667,1.6467258201229908,39777.32489960827,574.504,18.1,7.026666666666667,2.7550000000000003,2001-Q2,Q2 2001,1.5166666666667084,5253.437200000015,0.20000000000000018,-1.2666666666666666,0.11599999999999966,-1035.9293962822703,0.0,0.0,173.0,6.473333333333334,8.258333333333333,17.5,44303.2107156497,573.158,2.7006133986536174,5.022484346820269,2.9287090558766993,1.3979576107899678,4.198790944123301,7.0830156537902464,123.86421483333335,5.165546022445966,1,0
2001-07-01,2001,3,6.6000000000000005,180.04999999999998,3.4966666666666666,6.965,206607.18116666668,-1.5352523975531147,38995.04483366108,574.504,18.1,7.44,2.948333333333333,2001-Q3,Q3 2001,1.9833333333332916,6826.189500000008,0.40000000000000036,-0.8300000000000005,-0.16250000000000053,-782.2800659471905,0.0,0.0,174.9,5.593333333333334,8.3185,17.5,45186.03482871177,573.158,3.41683632814751,5.298293207456974,2.9445397369925574,0.5521269296741091,4.020460263007442,7.021057822300676,136.36073957000002,6.20972526648913,1,0
2001-10-01,2001,4,7.066666666666666,179.8166666666667,2.1333333333333333,6.780166666666666,213345.28656666668,2.287223708397974,38782.42411940029,574.504,18.1,5.166666666666667,2.948333333333333,2001-Q4,Q4 2001,-0.23333333333329165,6738.1054,0.4666666666666659,-1.3633333333333333,-0.18483333333333363,-212.6207142607891,0.0,0.0,175.35,4.326666666666667,8.029000000000002,17.5,45164.540560518646,573.158,3.261312294157137,5.501081776369521,2.547286379621716,-0.4139530462883827,4.23288028704495,6.973726230403496,150.76400250711112,6.78958232554574,1,0
2002-01-01,2002,1,7.166666666666667,180.95,1.7333333333333334,6.968,219254.7026,3.293832723323349,39422.20789310916,573.158,17.5,4.25,2.44,2002-Q1,Q1 2002,1.1333333333332973,5909.416033333313,0.10000000000000053,-0.3999999999999999,0.18783333333333374,639.7837737088703,-1.3460000000000036,-0.6000000000000014,176.54999999999998,3.4966666666666666,7.640666666666667,17.5,44579.54079333356,573.158,2.7698835668847677,5.561705300588322,2.492211838006231,-0.7588785046728974,4.475788161993769,7.133448518258103,157.13253686333334,6.1215304143425575,1,0
2002-04-01,2002,2,7.033333333333334,183.41666666666663,1.75,6.813666666666667,226050.24913333333,2.195746473374252,40871.916128998106,573.158,17.5,5.78,2.28,2002-Q2,Q2 2002,2.46666666666664,6795.546533333341,-0.13333333333333286,0.016666666666666607,-0.15433333333333277,1449.7082358889456,0.0,0.0,178.0666666666667,2.1333333333333333,7.011500000000001,18.1,43841.68980292292,568.502,3.0993846210591425,5.530698595580488,3.0044926993634924,-1.2544926993634924,3.809173967303175,7.496590616660401,158.9886752237778,5.955117533237164,1,0
2002-07-01,2002,3,6.833333333333333,185.0,1.74,6.289166666666667,235478.44396666667,1.0931342484913025,42687.24255178015,573.158,17.5,6.12,2.44,2002-Q3,Q3 2002,1.5833333333333712,9428.194833333342,-0.20000000000000107,-0.010000000000000009,-0.5245000000000006,1815.3264227820473,0.0,0.0,180.04999999999998,1.7333333333333334,7.1275,18.1,43358.48144332345,568.502,4.170840275328436,5.516365777926002,2.7492363232435535,-1.0092363232435535,3.539930343423113,7.897139872079329,160.9102700438889,7.399495278450052,1,1
2002-10-01,2002,4,6.9,185.61666666666667,1.4433333333333334,6.0760000000000005,244554.35470000005,0.8352610933280993,44303.2107156497,573.158,17.5,4.25,2.44,2002-Q4,Q4 2002,0.6166666666666742,9075.910733333381,0.06666666666666732,-0.29666666666666663,-0.21316666666666606,1615.9681638695474,0.0,0.0,179.8166666666667,1.75,6.965,18.1,43345.41124972695,568.502,3.8542426985877842,5.520014255165789,3.2255074613031676,-1.7821741279698342,2.850492538696833,8.223414295669846,168.74250474300004,8.18583728069784,1,0
2003-01-01,2003,1,7.1000000000000005,187.55000000000004,1.25,5.834499999999999,251893.1452,2.4816332311052536,45186.03482871177,568.502,17.5,4.25,2.033333333333333,2003-Q1,Q1 2003,1.9333333333333655,7338.790499999945,0.20000000000000018,-0.19333333333333336,-0.24150000000000116,882.8241130620663,-4.656000000000063,0.0,180.95,1.74,6.780166666666666,18.1,43734.555517465305,568.502,3.000883181574343,5.574579538896473,3.647416413373894,-2.397416413373894,2.1870835866261054,8.474640832124894,178.84413309200002,6.970787201081108,1,0
2003-04-01,2003,2,7.333333333333333,188.96666666666667,1.2466666666666668,5.508833333333333,260437.59893333333,4.804292025404748,45164.540560518646,568.502,17.5,5.78,1.9,2003-Q2,Q2 2003,1.4166666666666288,8544.453733333328,0.2333333333333325,-0.0033333333333331883,-0.32566666666666677,-21.49426819312066,0.0,0.0,183.41666666666663,1.4433333333333334,6.968,17.5,44421.11123096842,567.754,3.3920945830221427,5.766417541308929,3.025897319400306,-1.779230652733639,2.4829360139330268,8.534592681252674,190.9875725511111,6.4947705604414985,1,0
2003-07-01,2003,3,7.366666666666667,190.5,1.0166666666666666,6.014666666666667,270427.4642666667,6.6484025309919055,44579.54079333356,568.502,17.5,6.12,2.033333333333333,2003-Q3,Q3 2003,1.5333333333333314,9989.86533333335,0.0333333333333341,-0.2300000000000002,0.5058333333333342,-584.999767185087,0.0,0.0,185.0,1.25,6.813666666666667,17.5,45296.47651208357,567.754,3.8357999667669063,6.066178777397961,2.972972972972965,-1.9563063063062982,3.041693693693702,8.492402521130042,199.21489867644448,7.358008512677339,1,0
2003-10-01,2003,4,7.3,190.51666666666665,0.9966666666666668,5.920166666666667,280506.5027333333,3.632645364144345,43841.68980292292,568.502,17.5,4.25,2.033333333333333,2003-Q4,Q4 2003,0.01666666666665151,10079.03846666665,-0.06666666666666732,-0.019999999999999796,-0.09450000000000003,-737.8509904106395,0.0,0.0,185.61666666666667,1.2466666666666668,6.289166666666667,17.5,46248.25163996994,567.754,3.7270764986827576,6.398168136179641,2.639849151477036,-1.6431824848103693,3.2803175151896307,8.352572602286864,204.76974699533332,7.70583966454752,1,0
2004-01-01,2004,1,7.6,191.75,1.0033333333333332,5.5975,289647.09669999994,2.320480717670294,43358.48144332345,567.754,19.9,4.333333333333333,1.83,2004-Q1,Q1 2004,1.2333333333333485,9140.593966666609,0.2999999999999998,0.0066666666666663765,-0.32266666666666666,-483.20835959947,-0.7479999999999336,2.3999999999999986,187.55000000000004,1.0166666666666666,6.0760000000000005,17.5,47198.41768945148,567.754,3.2586032329368964,6.680286925606828,2.2394028259130616,-1.2360694925797284,3.3580971740869385,8.313988816757272,220.13179349199996,7.107130366899761,1,0
2004-04-01,2004,2,8.066666666666666,194.1,1.01,6.129166666666666,302741.4295,3.45307643082959,43345.41124972695,567.754,19.9,5.8933333333333335,1.71,2004-Q2,Q2 2004,2.3499999999999943,13094.332800000091,0.4666666666666668,0.006666666666666821,0.5316666666666663,-13.07019359649712,0.0,0.0,188.96666666666667,0.9966666666666668,5.834499999999999,17.5,48030.35048787444,567.136,4.5207885558619765,6.984393982463533,2.7165284882695317,-1.7065284882695317,3.4126381783971347,8.413344323572,244.2114197966667,7.926706350834434,1,1
2004-07-01,2004,3,8.366666666666667,195.95,1.4333333333333331,5.892499999999999,322279.32686666667,3.842246871242885,43734.555517465305,567.754,19.9,6.239999999999999,1.83,2004-Q3,Q3 2004,1.8499999999999943,19537.897366666642,0.3000000000000007,0.4233333333333331,-0.23666666666666725,389.14426773835294,0.0,0.0,190.5,1.0033333333333332,5.508833333333333,17.5,48644.65579012273,567.136,6.453658291478281,7.368985989533267,2.8608923884514414,-1.4275590551181083,3.0316076115485577,8.569786153647327,269.6403701451111,11.266203092815852,1,1
2004-10-01,2004,4,8.299999999999999,197.25,1.95,5.734833333333333,340437.6017666667,4.45954366075684,44421.11123096842,567.754,19.9,4.333333333333333,1.83,2004-Q4,Q4 2004,1.3000000000000114,18158.27490000002,-0.0666666666666682,0.5166666666666668,-0.15766666666666662,686.5557135031122,0.0,0.0,190.51666666666665,1.01,6.014666666666667,17.5,49061.12008252156,567.136,5.634328170082248,7.663869550596221,3.5342489720934456,-1.5842489720934456,2.200584361239887,8.76206419030852,282.5632094663333,12.451606748678135,1,1
2005-01-01,2005,1,7.899999999999999,199.3,2.47,5.755166666666667,356003.77586666663,3.703069780658831,45296.47651208357,567.136,18.9,3.4166666666666665,2.033333333333333,2005-Q1,Q1 2005,2.0500000000000114,15566.174099999946,-0.40000000000000036,0.5200000000000002,0.020333333333334203,875.3652811151551,-0.6180000000000518,-1.0,191.75,1.4333333333333331,5.920166666666667,17.5,49486.0965192027,567.136,4.5724015265120155,7.8594143138638355,3.9374185136897166,-1.4674185136897164,1.8177481529769501,9.027587768858256,281.2429829346666,10.464353803851779,1,1
