Date,House_Index_diff1,House_Index_pct_change,GDP_diff1,CPI_diff1,Interest_Rate_diff1,Mortgage_Rate_diff1,Unemployment_Rate,Median_Household_Income_diff1,Population_diff1,Poverty_Rate_diff1,Interest_Rate_diff1_lag1,CPI_diff1_lag3,Mortgage_Rate_diff1_lag2,Poverty_Rate_diff1_lag5,CPI_pct_change,GDP_pct_change,Unemployment_Rate_pct_change,recession_period,hot_market,rising_rates,price_to_income_ratio_diff1,real_interest_rate,real_mortgage_rate,price_momentum
1991-07-01,-0.5987947824500843,-0.8827004851818989,-0.3231940467795009,-0.28714247596333087,-0.16817805206396588,0.2572709081863755,0.2697825129644973,-0.4687778012729084,0.06166935300221438,1.1961317969850351,-2.129101255210931,0.8231780842727867,-1.2684562676185323,1.2623786725559003,-0.04516720284994953,0.07959778926727565,0.3911981038218413,-0.292352673102343,-0.8881060715737715,-0.9766504768063926,-0.27942583433075074,1.5385017172099957,2.1809824917085825,-0.701220757815958
1991-10-01,-0.08846949894690177,0.27844264684921355,-0.3996186545693226,0.5063242172633375,-1.295739327018721,-1.6569767855595618,0.3502106330266828,-0.4687778012729084,0.06166935300211662,1.1961317969850351,-0.1313726519412441,-0.23011167451762965,-0.2713222291466405,1.2623786725558885,1.271620276636373,-0.18870833908013543,0.04726453703758942,-0.292352673102343,-0.8881060715737715,-0.9766504768063926,0.26744435042296305,1.252399858371644,1.7627832122502378,-0.3333683893797005
1992-01-01,-0.3616311652203926,-0.3471072263769353,-0.2504465706169238,-0.826699827357474,-2.5317199553345078,-0.9485262372199497,0.913207473461984,-0.4687778012729084,0.06166935300211662,1.1961317969850351,-1.2729318538096375,-0.16428106459323213,0.3029764892137487,1.2623786725559003,-0.9479387945716315,0.29861653279789147,0.640514976209236,-0.292352673102343,-0.8881060715737715,-0.9766504768063926,-0.023737516462408466,0.7137501131154405,1.528619734198408,-0.045519764967547074
1992-04-01,-0.6009123147467761,-0.883268148833991,-0.21647883388970576,-0.6680064887121548,-0.6235393361803099,1.0635210271722073,0.5110668731510547,-1.7406175872766791,0.06166935300221438,0.6852279689006137,-2.524256363549989,-0.29594228444202714,-1.7228464623652102,1.2623786725558885,-0.6873329706042647,0.3905195080949356,-0.4848590945908742,-0.292352673102343,-0.8881060715737715,-0.9766504768063926,0.35175279568306594,0.5742452755678176,1.7688939105334642,-0.6619431199392107
1992-07-01,-0.2536370180890131,-0.10263065327894633,-0.2604662876600998,0.284153543159887,-1.0138490082800318,-1.6677108847768294,0.7523512333376121,-1.7406175872766791,0.06166935300211662,0.6852279689006137,-0.5923869450034803,0.5269403396129698,-0.9731026410331903,1.0967566772928827,0.8739344339696761,0.22763517028912336,0.23113909230129237,-0.292352673102343,-0.8881060715737715,-0.9766504768063926,0.7823246965501999,0.3474863335210395,1.347170937294944,-0.533649211562397
1992-10-01,-0.4039818111542611,-0.44237053476921967,-0.19220976514988297,0.25241487543079427,-0.29828127609720684,-0.03493512606144847,0.591494993213241,-1.7406175872766791,0.06166935300211662,0.6852279689006258,-0.9875420533425385,-0.8555024687994341,1.1562202993491897,1.0967566772928827,0.8017159338422503,0.4265882635679029,-0.2332094296121142,-0.292352673102343,-0.8881060715737715,-0.9766504768063926,0.6668816061014313,0.278362417448081,1.324497568807055,-0.2985259954516623
1993-01-01,-0.4759779092418504,-0.6034418121619903,-0.43675208431167184,0.06198286905641839,-0.14649418139175954,-0.16732234974107088,0.7523512333376121,-1.7406175872766791,0.06166935300221438,0.6852279689006137,-0.26309102138759716,-0.6909259439884496,-1.7342062172338777,1.0967566772928827,0.4774225399557416,-0.3560573171212618,0.13214962377438622,-0.292352673102343,-0.8881060715737715,-0.9766504768063926,0.6354824758696695,0.24238320561041926,1.2709498556729228,-0.5637445562561314
1993-04-01,-0.38492402048402014,-0.3995916929778278,-0.32168212971448884,-0.12844913731801164,-0.10312644004734589,-1.1810983869273985,0.18935439290231168,0.5296758625057526,0.06166935300211662,-0.8474835153526266,-0.1094195903668524,0.2965332048775879,-0.006261282211078654,1.0967566772928827,0.16249894720732178,-0.0052756388778384174,-0.6807742700105789,-0.292352673102343,-0.8881060715737715,-0.9766504768063926,-0.6343126679549882,0.21562132072452564,0.9735060723467688,-0.5411649678570932
1993-07-01,-0.42303960182450806,-0.4850454533617483,-0.3452792353143096,-0.5727904855249488,0.24381549070796338,-0.574025442306405,0.5110668731510547,0.5296758625057526,0.06166935300211662,-0.8474835153526145,-0.06551346721806807,0.2636178999153611,-0.14636492559130235,0.59989069150383,-0.545543679111248,-0.08787754809465306,0.36083117673493803,-0.292352673102343,-0.8881060715737715,1.0239077579421858,-0.6614291820378605,0.26405067778923574,0.8236055338198994,-0.47840962845787194
1993-10-01,-0.3129279223964368,-0.2387646048242074,-0.12696214425546504,-0.09671046958891891,-0.12481031071955223,-0.8268731127575861,0.2697825129644973,0.5296758625057526,0.06166935300221438,-0.8474835153526266,0.28573551797220675,0.06612607014218724,-1.219230663187642,0.59989069150383,0.20249205637189557,0.5616036629324461,-0.3395060792067502,-0.292352673102343,-0.8881060715737715,1.0239077579421858,-0.5160653902788538,0.22936681418658353,0.6072751677399327,-0.3933139922691553
