Date,House_Index_pct_change_lag1,House_Index_pct_change_lag3,GDP_pct_change_lag8,House_Index_pct_change_lag4,CPI_pct_change_lag8,dummy_crisis_2008_period,House_Index_pct_change,House_Index
1992-04-01,0.0030389177531613,-0.0080023710729104,0.0148699891242547,0.0014841199168893,0.0143939393939394,0,-0.0080140734949177,101.5
1992-07-01,-0.0080140734949177,0.0159346678617668,0.0092429095970689,-0.0080023710729104,0.0134428678117997,0,0.0080788177339901,102.32
1992-10-01,0.0080788177339901,0.0030389177531613,-0.0017261512496183,0.0159346678617668,0.0184229918938836,0,0.0010750586395622,102.43
1993-01-01,0.0010750586395622,-0.0080140734949177,0.0050701671498132,0.0030389177531613,0.0065123010130245,0,-0.002245435907449,102.2
1993-04-01,-0.002245435907449,0.0080788177339901,0.0151915983256831,-0.0080140734949177,0.0071890726096333,0,0.0019569471624265,102.4
1993-07-01,0.0019569471624265,0.0010750586395622,0.0129062805723385,0.0080788177339901,0.0057102069950036,0,0.0001953125,102.42
1993-10-01,0.0001953125,-0.002245435907449,0.009443054288176,0.0010750586395622,0.0145493257629523,0,0.0052724077328645,102.96
1994-01-01,0.0052724077328645,0.0019569471624265,0.0157333180089838,-0.002245435907449,-0.0003497726477788,0,0.001845376845377,103.15
1994-04-01,0.001845376845377,0.0001953125,0.0169195779039845,0.0019569471624265,0.001399580125962,0,-0.0089190499272904,102.23
1994-07-01,-0.0089190499272904,0.0052724077328645,0.0148171088942679,0.0001953125,0.0118798043326346,0,-0.0104665949329942,101.16
1994-10-01,-0.0104665949329942,0.001845376845377,0.017385144094218,0.0052724077328645,0.0113950276243093,0,-0.0086990905496243,100.28
1995-01-01,-0.0086990905496243,-0.0089190499272904,0.0072829568541386,0.001845376845377,0.00921816319563,0,-0.002792181890706,100.0
1995-04-01,-0.002792181890706,-0.0104665949329942,0.0118107562584155,-0.0089190499272904,0.007104194857916,0,0.0088999999999999,100.89
1995-07-01,0.0088999999999999,-0.0086990905496243,0.0107445521247877,-0.0104665949329942,0.0023513604299629,0,0.0123897313906233,102.14
1995-10-01,0.0123897313906233,-0.002792181890706,0.019127888036468,-0.0086990905496243,0.0073726541554961,0,0.0071470530644213,102.87
1996-01-01,0.0071470530644213,0.0088999999999999,0.0145306254667625,-0.002792181890706,0.0039920159680637,0,0.0113735783027122,104.04
1996-04-01,0.0113735783027122,0.0123897313906233,0.0184493283257809,0.0088999999999999,0.0036447978793903,0,-0.0129757785467128,102.69
1996-07-01,-0.0129757785467128,0.0071470530644213,0.0116109840151645,0.0123897313906233,0.0023109937273029,0,-0.009835427013341,101.68
1996-10-01,-0.009835427013341,0.0113735783027122,0.0169433541465611,0.0071470530644213,0.0102108036890644,0,0.0067859952793076,102.37
1997-01-01,0.0067859952793076,-0.0129757785467128,0.0089870438271466,0.0113735783027122,0.0029344636452559,0,0.0041027644817817,102.79
1997-04-01,0.0041027644817817,-0.009835427013341,0.0078045392831889,-0.0129757785467128,0.0071521456436931,0,-0.0040860005837143,102.37
1997-07-01,-0.0040860005837143,0.0067859952793076,0.0134715790020758,-0.009835427013341,0.0077469335054873,0,0.0093777473869296,103.33
1997-10-01,0.0093777473869296,0.0041027644817817,0.0116438298218499,0.0067859952793076,-0.0025624599615631,0,0.007548630600987,104.11
1998-01-01,0.007548630600987,-0.0040860005837143,0.0123359201171913,0.0041027644817817,0.0070648683365448,0,0.0142157333589472,105.59
1998-04-01,0.0142157333589472,0.0093777473869296,0.0208899623154088,-0.0040860005837143,0.0121173469387754,0,0.0013258831328724,105.73
1998-07-01,0.0013258831328724,0.007548630600987,0.0122706290676772,0.0093777473869296,0.0088216761184625,0,0.0052019294429206,106.28
1998-10-01,0.0052019294429206,0.0142157333589472,0.0157860729654693,0.007548630600987,0.0056214865708932,0,0.0111027474595408,107.46
1999-01-01,0.0111027474595408,0.0013258831328724,0.0124560354034028,0.0142157333589472,0.0037267080745342,0,0.0114461194863204,108.69
1999-04-01,0.0114461194863204,0.0052019294429206,0.018674691231433,0.0013258831328724,0.0024752475247524,0,0.0076363970926487,109.52
1999-07-01,0.0076363970926487,0.0111027474595408,0.0169035048847698,0.0052019294429206,0.0055555555555555,0,0.0176223520818115,111.45
