Date,Year,Month,Unemployment_Rate,CPI,Interest_Rate,Mortgage_Rate,ZHVI,GDP_Growth,Median_Household_Income,Population,Poverty_Rate,Marriage_Rate,Divorce_Rate,Poverty_Rate_lag15,Unemployment_Rate_lag2,CPI_lag11,Median_Household_Income_future17,Population_future8,Divorce_Rate_future2,ZHVI_diff1,CPI_diff1,Median_Household_Income_diff1,Population_diff1,Mortgage_Rate_diff1,month_sin,month_cos,spring,summer,fall,winter,hot_market_season,price_to_income,monthly_payment,payment_to_income,CPI_yoy_pct,real_interest_rate,real_mortgage_rate,rising_rates,falling_rates,price_momentum,hot_market,cold_market,high_unemployment,ZHVI_ma3,ZHVI_ma6,Interest_Rate_ma3,Interest_Rate_ma6,Unemployment_Rate_ma3,Unemployment_Rate_ma6,CPI_ma3,CPI_ma6,ZHVI_mom_pct,ZHVI_yoy_pct,Median_Household_Income_mom_pct,Median_Household_Income_yoy_pct,CPI_mom_pct
2001-04-01,2001,4,6.1,177.6,4.8,7.0775,197649.402,1.4620467189244857,40104.19437682007,574.504,18.1,6.2,2.755,17.5,6.0,172.5,43298.0327929636,574.504,2.755,1747.9664000000048,0.4000000000000057,-363.22030012311734,0.0,0.12549999999999972,0.8660254037844387,-0.4999999999999998,1,0,0,0,1,4.9283972679486086,1060.2158747544752,31.723840098898144,2.748047439976853,2.051952560023147,4.329452560023147,0,1,4.932173209484847,0,0,0,196023.9417,193796.1952,5.199999999999999,5.748333333333334,6.066666666666666,5.966666666666666,177.11666666666667,176.35833333333335,0.892268295352916,9.669212976728424,-0.8975624042770081,-5.520242082316596,0.22573363431150906
2001-05-01,2001,5,6.2,178.0,4.21,7.145,199734.9308,2.5,39770.9466283084,574.504,18.1,6.820000000000001,2.755,17.5,6.1,173.65,43839.89570962816,573.158,2.9,2085.5288,0.4000000000000057,-333.24774851167604,0.0,0.0674999999999999,0.49999999999999994,-0.8660254037844387,1,0,0,0,1,5.022131674829975,1078.6788420926646,32.54673876909562,3.1884057971014457,1.0215942028985543,3.956594202898554,0,1,5.170352836111869,1,0,0,197761.92279999997,195432.7465,4.773333333333333,5.364999999999999,6.133333333333333,6.033333333333334,177.6,176.80833333333337,1.0551657525379232,10.26088553778093,-0.8309548507083098,-6.671678845262408,0.22522522522523403
2001-06-01,2001,6,6.3,178.6,3.97,7.159999999999999,201958.6422,1.6467258201229908,39456.83369369633,574.504,18.1,8.06,2.755,17.5,6.1,174.8,44335.81430260476,573.158,2.9,2223.7114,0.5999999999999943,-314.11293461206515,0.0,0.01499999999999968,1.2246467991473532e-16,-1.0,0,1,0,0,1,5.118470573888577,1092.325654803304,33.22088122781575,2.8505614742297736,1.1194385257702266,4.309438525770226,0,1,5.3901723519132805,1,0,0,199780.99166666667,197154.27306666668,4.326666666666667,4.96,6.2,6.1000000000000005,178.0666666666667,177.3083333333333,1.1133312491176994,10.807888690047784,-0.789805024124024,-7.554114463367623,0.3370786516853963
2001-07-01,2001,7,6.4,179.2,3.77,7.1275,204256.3119,-0.1568469076626243,39193.01295245248,574.504,18.1,8.68,2.9,17.5,6.2,174.9,44733.92213471617,573.158,3.045,2297.6696999999986,0.5999999999999943,-263.8207412438496,0.0,-0.03249999999999886,-0.4999999999999997,-0.8660254037844388,0,1,0,0,1,5.211549113302318,1101.1658297930198,33.715167480354125,2.517162471395862,1.2528375286041382,4.610337528604139,0,1,5.744490472141961,1,0,0,201983.29496666664,199003.61833333332,3.983333333333333,4.591666666666667,6.3,6.183333333333334,178.6,177.85833333333332,1.1376931806288404,11.22378548298375,-0.6686313029876989,-8.116099828235813,0.33594624860022737
2001-08-01,2001,8,6.6,180.05,3.65,6.95,206618.2835,-1.6,38973.27513401616,574.504,18.1,7.439999999999999,2.9,17.5,6.3,175.0,45040.0,573.158,3.045,2361.97159999999,0.8500000000000227,-219.73781843631878,0.0,-0.1775000000000002,-0.8660254037844385,-0.5000000000000004,0,1,0,0,0,5.301537599534765,1094.1643214604906,33.68968046020323,2.9445397369925796,0.7054602630074203,4.0054602630074205,0,1,6.219018397693454,1,0,1,204277.74586666666,201019.83433333333,3.796666666666667,4.284999999999999,6.433333333333334,6.283333333333334,179.2833333333333,178.4416666666667,1.1563763087802936,11.572724187724305,-0.5606555910945055,-8.396093325644083,0.4743303571428603
2001-09-01,2001,9,6.8,180.9,3.07,6.8175,208946.9481,-1.5352523975531147,38818.84641451459,574.504,18.1,6.2,3.045,17.5,6.4,175.15,45224.201759865886,573.158,2.9,2328.6646000000183,0.8499999999999943,-154.42871950157132,0.0,-0.13250000000000028,-1.0,-1.8369701987210297e-16,0,0,1,0,0,5.382616110453853,1091.6914889490015,33.747262161015016,3.3714285714285808,-0.3014285714285809,3.446071428571419,0,1,6.65922251158837,1,0,1,206607.18116666668,203194.08641666666,3.496666666666666,3.9116666666666666,6.599999999999999,6.3999999999999995,180.04999999999998,179.0583333333333,1.127037046554502,11.872916680495948,-0.39624260206652107,-8.367419255386366,0.47209108580950065
2001-10-01,2001,10,7.0,180.2,2.49,6.6175,211164.9599,-0.4093395453505457,38742.59394908746,574.504,18.1,5.58,3.045,17.5,6.6,175.3,45293.90272626941,573.158,2.9,2218.0117999999784,-0.700000000000017,-76.25246542713285,0.0,-0.20000000000000018,-0.8660254037844386,0.5000000000000001,0,0,1,0,0,5.450460033148445,1080.8522940514267,33.47795334938491,2.88324293462745,-0.39324293462744997,3.7342570653725495,0,1,6.838147630722391,1,0,1,208910.06383333332,205446.67940000002,3.0700000000000003,3.526666666666667,6.8,6.55,180.38333333333333,179.49166666666667,1.0615191177324457,12.10759012567475,-0.1964315595906596,-8.039794915847088,-0.3869541182974112
2001-11-01,2001,11,7.1,179.5,2.09,6.658,213353.9444,1.1,38750.81301889524,574.504,18.1,4.960000000000001,2.9,17.5,6.8,175.6,45278.932830496175,573.158,2.52,2188.9845000000205,-0.6999999999999886,8.219069807782944,0.0,0.04050000000000065,-0.5000000000000004,0.8660254037844384,0,0,1,0,0,5.505792724812425,1096.629880049035,33.95943861660838,2.395892755276652,-0.30589275527665194,4.262107244723349,0,1,6.818543729657933,1,0,1,211155.28413333333,207716.51499999998,2.55,3.173333333333334,6.966666666666666,6.7,180.20000000000002,179.74166666666667,1.0366229799852356,12.34143933487768,0.021214557338589124,-7.382621392465582,-0.38845726970032635
2001-12-01,2001,12,7.1,179.75,1.82,7.065,215516.9554,2.287223708397974,38853.865390218176,574.504,18.1,4.960000000000001,2.9,17.5,7.0,175.9,45186.993208798856,573.158,2.4,2163.0109999999986,0.25,103.05237132293405,0.0,0.40700000000000003,-2.4492935982947064e-16,1.0,0,0,0,1,0,5.5468600932111745,1154.6080955189552,35.660022515329096,2.3633257403189,-0.5433257403189,4.7016742596811,0,1,6.713410751976223,1,0,1,213345.28656666668,209976.23386666668,2.1333333333333333,2.815,7.066666666666666,6.833333333333333,179.8166666666667,179.9333333333333,1.013813457296453,12.465447514112892,0.26593602377500414,-6.42810818787658,0.139275766016711
2002-01-01,2002,1,7.2,180.0,1.73,6.9975,217459.5527,3.0790668051821743,39070.0,573.158,17.5,4.08,2.52,17.5,7.1,176.55,45027.69564226091,573.158,2.4,1942.597299999994,0.25,216.1346097818241,-1.3460000000000036,-0.06750000000000078,0.49999999999999994,0.8660254037844387,0,0,0,1,0,5.5658958971077555,1157.1189886271331,35.53987167526388,2.33086981239341,-0.6008698123934102,4.666630187606589,0,1,6.464055224136267,1,0,1,215443.48416666666,212176.77399999998,1.88,2.475,7.133333333333333,6.966666666666666,179.75,180.06666666666663,0.9013663432626551,12.579872732742704,0.5562756951235981,-5.100801554529999,0.13908205841446364
