Year,Quarter,Date,Unemployment_Rate,CPI,Interest_Rate,Mortgage_Rate,ZHVI,GDP_Growth,Median_Household_Income,Population,Poverty_Rate,Marriage_Rate,Divorce_Rate,YearQuarter,QuarterLabel
2000,1,2000-01-01,5.7,171.5,5.676666666666667,8.258333333333333,179387.5796666667,6.89244083540085,41716.55853873175,572.046,17.5,4.083333333333333,3.253333333333334,2000-Q1,Q1 2000
2000,2,2000-04-01,5.599999999999999,173.0,6.273333333333333,8.3185,181210.32816666667,4.859769874218148,42580.80531528536,572.046,17.5,5.553333333333335,3.0400000000000005,2000-Q2,Q2 2000
2000,3,2000-07-01,5.666666666666667,174.9,6.52,8.029000000000002,185201.08146666666,0.687335890554935,42521.31462869351,572.046,17.5,5.88,3.253333333333334,2000-Q3,Q3 2000
2000,4,2000-10-01,5.8,175.35,6.473333333333334,7.640666666666667,189968.10193333332,1.3237094853757143,41830.80863997166,572.046,17.5,4.083333333333333,3.253333333333334,2000-Q4,Q4 2000
2001,1,2001-01-01,6.0,176.54999999999998,5.593333333333334,7.011500000000001,194527.55446666665,-0.3834282191640781,40813.25429589054,574.504,18.1,5.166666666666667,2.948333333333333,2001-Q1,Q1 2001
2001,2,2001-04-01,6.2,178.0666666666667,4.326666666666667,7.1275,199780.99166666667,1.6467258201229908,39777.32489960827,574.504,18.1,7.026666666666667,2.7550000000000003,2001-Q2,Q2 2001
2001,3,2001-07-01,6.6000000000000005,180.04999999999998,3.4966666666666666,6.965,206607.18116666668,-1.5352523975531147,38995.04483366108,574.504,18.1,7.44,2.948333333333333,2001-Q3,Q3 2001
2001,4,2001-10-01,7.066666666666666,179.8166666666667,2.1333333333333333,6.780166666666666,213345.28656666668,2.287223708397974,38782.42411940029,574.504,18.1,5.166666666666667,2.948333333333333,2001-Q4,Q4 2001
2002,1,2002-01-01,7.166666666666667,180.95000000000002,1.7333333333333334,6.968,219254.7026,3.293832723323349,39422.20789310916,573.158,17.5,4.25,2.44,2002-Q1,Q1 2002
2002,2,2002-04-01,7.033333333333334,183.41666666666666,1.75,6.813666666666667,226050.24913333333,2.195746473374252,40871.916128998106,573.158,17.5,5.78,2.28,2002-Q2,Q2 2002
2002,3,2002-07-01,6.833333333333333,185.0,1.74,6.289166666666667,235478.44396666667,1.0931342484913023,42687.24255178015,573.158,17.5,6.12,2.44,2002-Q3,Q3 2002
2002,4,2002-10-01,6.8999999999999995,185.61666666666667,1.4433333333333334,6.0760000000000005,244554.35470000003,0.8352610933280993,44303.2107156497,573.158,17.5,4.25,2.44,2002-Q4,Q4 2002
2003,1,2003-01-01,7.1000000000000005,187.55000000000004,1.25,5.834499999999999,251893.1452,2.4816332311052536,45186.03482871177,568.502,17.5,4.25,2.033333333333333,2003-Q1,Q1 2003
2003,2,2003-04-01,7.333333333333333,188.96666666666667,1.2466666666666668,5.508833333333333,260437.59893333333,4.804292025404748,45164.540560518646,568.502,17.5,5.78,1.8999999999999997,2003-Q2,Q2 2003
2003,3,2003-07-01,7.366666666666667,190.5,1.0166666666666666,6.014666666666667,270427.4642666667,6.6484025309919055,44579.54079333356,568.502,17.5,6.12,2.033333333333333,2003-Q3,Q3 2003
2003,4,2003-10-01,7.3,190.51666666666665,0.9966666666666667,5.920166666666667,280506.5027333333,3.632645364144345,43841.68980292292,568.502,17.5,4.25,2.033333333333333,2003-Q4,Q4 2003
2004,1,2004-01-01,7.6000000000000005,191.75,1.0033333333333332,5.5975,289647.09669999994,2.3204807176702946,43358.48144332345,567.754,19.9,4.333333333333333,1.83,2004-Q1,Q1 2004
2004,2,2004-04-01,8.066666666666666,194.1,1.01,6.129166666666666,302741.4295,3.45307643082959,43345.41124972695,567.754,19.9,5.8933333333333335,1.71,2004-Q2,Q2 2004
2004,3,2004-07-01,8.366666666666667,195.95000000000002,1.4333333333333333,5.892499999999999,322279.32686666667,3.842246871242885,43734.555517465305,567.754,19.9,6.239999999999999,1.83,2004-Q3,Q3 2004
2004,4,2004-10-01,8.299999999999999,197.25,1.95,5.7348333333333334,340437.6017666667,4.4595436607568395,44421.11123096842,567.754,19.9,4.333333333333333,1.83,2004-Q4,Q4 2004
