Date,House_Index_diff1,GDP_diff1,CPI_diff1,Interest_Rate_diff1,Mortgage_Rate_diff1,Unemployment_Rate,Median_Household_Income_diff1
1990-01-01,0.2600000000000051,125.46399999999994,1.6999999999999886,-0.6099999999999994,-0.05250000000000021,2.7,-352.5
1990-04-01,0.29999999999999716,87.32700000000023,1.9000000000000057,0.02999999999999936,0.47499999999999964,2.6,770.0
1990-07-01,-0.539999999999992,55.08799999999974,1.799999999999983,-0.10999999999999943,-0.3349999999999991,3.2,770.0
1990-10-01,-1.3400000000000034,-10.38299999999981,2.5,-0.040000000000000924,0.14250000000000007,3.4,770.0
1991-01-01,0.539999999999992,30.44499999999971,0.9000000000000057,-1.1999999999999993,-0.5400000000000009,4.2,770.0
1991-04-01,0.15000000000000568,91.6840000000002,1.0,-1.0,-0.14499999999999957,4.1,-200.0
1991-07-01,-0.8100000000000023,79.07499999999982,0.8000000000000114,-0.08999999999999986,0.08249999999999957,4.5,-200.0
1991-10-01,1.6000000000000085,58.603000000000065,2.049999999999983,-0.6100000000000003,-0.7199999999999989,4.6,-200.0
1992-01-01,0.30999999999998806,98.5619999999999,-0.04999999999998295,-1.1799999999999997,-0.4230000000000018,5.3,-200.0
1992-04-01,-0.8199999999999932,107.66100000000006,0.19999999999998863,-0.30000000000000027,0.42050000000000054,4.8,-1805.0
1992-07-01,0.8199999999999932,95.8779999999997,1.700000000000017,-0.48,-0.724499999999999,5.1,-1805.0
1992-10-01,0.11000000000001364,114.16200000000026,1.6499999999999773,-0.1499999999999999,-0.040000000000000924,4.9,-1805.0
1993-01-01,-0.23000000000000398,48.65599999999995,1.3500000000000227,-0.08000000000000007,-0.09549999999999947,5.1,-1805.0
1993-04-01,0.20000000000000284,79.48000000000047,1.049999999999983,-0.06000000000000005,-0.5205000000000011,4.4,1060.0
1993-07-01,0.01999999999999602,73.15899999999965,0.3499999999999943,0.10000000000000009,-0.26599999999999824,4.8,1060.0
1993-10-01,0.539999999999992,131.64000000000033,1.1000000000000227,-0.06999999999999984,-0.3719999999999999,4.5,1060.0
1994-01-01,0.19000000000001194,101.91399999999976,0.5999999999999943,0.05999999999999961,0.22599999999999998,4.6,1060.0
1994-04-01,-0.9200000000000017,131.27899999999954,0.549999999999983,0.5100000000000002,1.2559999999999985,3.9,-37.5
1994-07-01,-1.0700000000000074,84.14400000000023,0.35000000000002274,0.6999999999999997,0.2980000000000018,4.1,-37.5
1994-10-01,-0.8799999999999955,124.21299999999974,1.549999999999983,0.5,0.31099999999999994,4.0,-37.5
1995-01-01,-0.28000000000000114,67.0010000000002,0.45000000000001705,0.7700000000000005,0.22250000000000014,4.3,-37.5
1995-04-01,0.8900000000000006,58.70800000000054,1.0999999999999943,0.5199999999999996,-0.8275000000000006,4.0,185.0
1995-07-01,1.25,102.1279999999997,1.1999999999999886,-0.20000000000000018,-0.7125000000000004,4.2,185.0
1995-10-01,0.730000000000004,89.46100000000024,-0.4000000000000057,-0.08999999999999986,-0.13250000000000028,4.0,185.0
1996-01-01,1.1700000000000017,95.8819999999996,1.1000000000000227,-0.20000000000000018,-0.4450000000000003,4.0,185.0
1996-04-01,-1.3500000000000085,164.3720000000003,1.8999999999999773,-0.33999999999999986,0.8950000000000014,3.7,-352.5
1996-07-01,-1.009999999999991,98.56800000000021,1.4000000000000057,0.1800000000000006,0.3200000000000003,4.0,-352.5
1996-10-01,0.6899999999999977,128.36300000000028,0.9000000000000057,-0.16000000000000014,-0.33000000000000096,3.7,-352.5
1997-01-01,0.4200000000000017,102.88400000000001,0.5999999999999943,0.009999999999999787,-0.09100000000000019,4.0,-352.5
1997-04-01,-0.4200000000000017,156.17000000000007,0.4000000000000057,0.2599999999999998,0.3185000000000002,3.4,500.0
1997-07-01,0.9599999999999937,143.9979999999996,0.9000000000000057,0.009999999999999787,-0.6450000000000005,3.5,500.0
1997-10-01,0.7800000000000011,103.08399999999892,-0.20000000000001705,-0.019999999999999574,-0.20350000000000001,3.4,500.0
1998-01-01,1.480000000000004,100.57300000000032,-0.19999999999998863,0.05999999999999961,-0.2999999999999998,3.5,500.0
1998-04-01,0.14000000000000057,103.21900000000096,1.0500000000000114,-0.10999999999999943,0.1460000000000008,2.8,1960.0
1998-07-01,0.5499999999999972,151.39799999999923,1.3499999999999943,0.08999999999999986,-0.1880000000000006,3.1,1960.0
1998-10-01,1.1799999999999926,172.89400000000023,-0.05000000000001137,-0.46999999999999975,-0.24200000000000088,2.9,1960.0
1999-01-01,1.230000000000004,117.69100000000071,0.5500000000000114,-0.4400000000000004,0.07500000000000107,2.8,1960.0
1999-04-01,0.8299999999999983,114.52799999999843,1.049999999999983,0.11000000000000032,0.13100000000000023,2.5,507.5
1999-07-01,1.9300000000000068,160.41600000000108,1.8500000000000227,0.25,0.7159999999999993,2.7,507.5
1999-10-01,1.6499999999999915,213.54299999999967,1.1499999999999773,0.20999999999999996,0.21999999999999975,2.4,507.5
2000-01-01,2.5900000000000034,102.01000000000022,0.35000000000002274,0.25,0.35800000000000143,2.9,507.5
2000-04-01,3.6899999999999977,245.54099999999926,3.049999999999983,0.5699999999999994,-0.057500000000000995,2.4,-400.0
