Date,House_Index,CPI,Poverty_Rate,Unemployment_Rate,Median_Household_Income,Population,Interest_Rate,Mortgage_Rate,GDP,Interest_Rate_diff1,Mortgage_Rate_diff1,Population_diff1,CPI_diff1,House_Index_diff1,GDP_diff1,Poverty_Rate_diff1,Median_Household_Income_diff1,GDP_diff2
1990-07-01,101.87,135.7,13.85,4.7,59930.0,4123.39587804878,8.15,10.035,6015.116,-0.10999999999999943,-0.3349999999999991,17.440878048780178,1.799999999999983,-0.539999999999992,55.08799999999974,0.17499999999999893,770.0,-32.23900000000049
1990-10-01,100.53,138.2,14.025,4.9,60700.0,4140.836756097561,8.11,10.1775,6004.733,-0.040000000000000924,0.14250000000000007,17.440878048781087,2.5,-1.3400000000000034,-10.38299999999981,0.1750000000000007,770.0,-65.47099999999955
1991-01-01,101.07,139.1,14.2,5.3,61470.0,4158.277634146341,6.91,9.6375,6035.178,-1.1999999999999993,-0.5400000000000009,17.440878048780178,0.9000000000000057,0.539999999999992,30.44499999999971,0.17499999999999893,770.0,40.82799999999952
1991-04-01,101.22,140.1,14.35,5.2,61270.0,4175.718512195122,5.91,9.4925,6126.862,-1.0,-0.14499999999999957,17.440878048780178,1.0,0.15000000000000568,91.6840000000002,0.15000000000000036,-200.0,61.23900000000049
1991-07-01,100.41,140.9,14.5,6.1,61070.0,4193.159390243903,5.82,9.575,6205.937,-0.08999999999999986,0.08249999999999957,17.440878048781087,0.8000000000000114,-0.8100000000000023,79.07499999999982,0.15000000000000036,-200.0,-12.609000000000378
1991-10-01,102.01,142.95,14.65,6.2,60870.0,4210.600268292683,5.21,8.855,6264.54,-0.6100000000000003,-0.7199999999999989,17.440878048780178,2.049999999999983,1.6000000000000085,58.603000000000065,0.15000000000000036,-200.0,-20.471999999999753
1992-01-01,102.32,142.9,14.8,6.6,60670.0,4228.041146341463,4.03,8.431999999999999,6363.102,-1.1799999999999997,-0.4230000000000018,17.440878048780178,-0.04999999999998295,0.30999999999998806,98.5619999999999,0.15000000000000036,-200.0,39.95899999999983
1992-04-01,101.5,143.1,14.875,6.3,58865.0,4245.482024390244,3.73,8.8525,6470.763,-0.30000000000000027,0.42050000000000054,17.440878048781087,0.19999999999998863,-0.8199999999999932,107.66100000000006,0.07499999999999929,-1805.0,9.09900000000016
1992-07-01,102.32,144.8,14.95,7.0,57060.0,4262.922902439024,3.25,8.128,6566.641,-0.48,-0.724499999999999,17.440878048780178,1.700000000000017,0.8199999999999932,95.8779999999997,0.07499999999999929,-1805.0,-11.783000000000357
1992-10-01,102.43,146.45,15.025,6.6,55255.0,4280.363780487804,3.1,8.088,6680.803,-0.1499999999999999,-0.040000000000000924,17.440878048780178,1.6499999999999773,0.11000000000001364,114.16200000000026,0.07500000000000107,-1805.0,18.28400000000056
1993-01-01,102.2,147.8,15.1,6.8,53450.0,4297.8046585365855,3.02,7.9925,6729.459,-0.08000000000000007,-0.09549999999999947,17.440878048781087,1.3500000000000227,-0.23000000000000398,48.65599999999995,0.07499999999999929,-1805.0,-65.50600000000031
1993-04-01,102.4,148.85,14.95,6.1,54510.0,4315.245536585366,2.96,7.471999999999999,6808.939,-0.06000000000000005,-0.5205000000000011,17.440878048780178,1.049999999999983,0.20000000000000284,79.48000000000047,-0.15000000000000036,1060.0,30.824000000000524
1993-07-01,102.42,149.2,14.8,6.8,55570.0,4332.686414634146,3.06,7.206,6882.098,0.10000000000000009,-0.26599999999999824,17.440878048780178,0.3499999999999943,0.01999999999999602,73.15899999999965,-0.14999999999999858,1060.0,-6.321000000000822
1993-10-01,102.96,150.3,14.65,6.3,56630.0,4350.127292682927,2.99,6.8340000000000005,7013.738,-0.06999999999999984,-0.3719999999999999,17.440878048781087,1.1000000000000227,0.539999999999992,131.64000000000033,-0.15000000000000036,1060.0,58.48100000000068
1994-01-01,103.15,150.9,14.5,6.3,57690.0,4367.568170731707,3.05,7.0600000000000005,7115.652,0.05999999999999961,0.22599999999999998,17.440878048780178,0.5999999999999943,0.19000000000001194,101.91399999999976,-0.15000000000000036,1060.0,-29.726000000000568
1994-04-01,102.23,151.45,14.325,5.6,57652.5,4385.009048780487,3.56,8.315999999999999,7246.931,0.5100000000000002,1.2559999999999985,17.440878048780178,0.549999999999983,-0.9200000000000017,131.27899999999954,-0.1750000000000007,-37.5,29.36499999999978
1994-07-01,101.16,151.8,14.15,6.0,57615.0,4402.449926829268,4.26,8.614,7331.075,0.6999999999999997,0.2980000000000018,17.440878048781087,0.35000000000002274,-1.0700000000000074,84.14400000000023,-0.17499999999999893,-37.5,-47.13499999999931
1994-10-01,100.28,153.35,13.975,5.8,57577.5,4419.890804878049,4.76,8.925,7455.288,0.5,0.31099999999999994,17.440878048780178,1.549999999999983,-0.8799999999999955,124.21299999999974,-0.1750000000000007,-37.5,40.068999999999505
1995-01-01,100.0,153.8,13.8,6.1,57540.0,4437.331682926829,5.53,9.1475,7522.289,0.7700000000000005,0.22250000000000014,17.440878048780178,0.45000000000001705,-0.28000000000000114,67.0010000000002,-0.17499999999999893,-37.5,-57.211999999999534
1995-04-01,100.89,154.9,13.775,5.9,57725.0,4454.77256097561,6.05,8.32,7580.997,0.5199999999999996,-0.8275000000000006,17.440878048781087,1.0999999999999943,0.8900000000000006,58.70800000000054,-0.025000000000000355,185.0,-8.292999999999665
1995-07-01,102.14,156.1,13.75,6.5,57910.0,4472.21343902439,5.85,7.6075,7683.125,-0.20000000000000018,-0.7125000000000004,17.440878048780178,1.1999999999999886,1.25,102.1279999999997,-0.025000000000000355,185.0,43.41999999999916
1995-10-01,102.87,155.7,13.725,6.0,58095.0,4489.654317073171,5.76,7.475,7772.586,-0.08999999999999986,-0.13250000000000028,17.440878048781087,-0.4000000000000057,0.730000000000004,89.46100000000024,-0.025000000000000355,185.0,-12.666999999999462
1996-01-01,104.04,156.8,13.7,5.9,58280.0,4507.095195121951,5.56,7.029999999999999,7868.468,-0.20000000000000018,-0.4450000000000003,17.440878048780178,1.1000000000000227,1.1700000000000017,95.8819999999996,-0.025000000000000355,185.0,6.420999999999367
1996-04-01,102.69,158.7,13.6,5.8,57927.5,4524.536073170732,5.22,7.925000000000001,8032.84,-0.33999999999999986,0.8950000000000014,17.440878048781087,1.8999999999999773,-1.3500000000000085,164.3720000000003,-0.09999999999999964,-352.5,68.49000000000069
